po_id,po_line_id,supplier_id,product_id,warehouse_id,order_date,promised_delivery_date,actual_delivery_date,qty_ordered,qty_received,qty_rejected,unit_cost,total_cost,status
PO-1058,1,SUP-1002,EC-1330,WH-SOUTH,2025-08-01,2025-08-11,2025-08-09,500,496,4,8.9,4450.0,received
PO-1059,1,SUP-1002,EC-1205,WH-SOUTH,2025-08-04,2025-08-14,2025-08-15,100,99,1,28.6,2860.0,received
PO-1060,1,SUP-1002,EC-1610,WH-WEST,2025-07-31,2025-08-10,2025-08-09,150,148,2,11.5,1725.0,received
PO-1061,1,SUP-1002,EC-1330,WH-CENTRAL,2025-07-17,2025-07-27,2025-07-27,500,494,6,8.9,4450.0,received
PO-1062,1,SUP-1002,EC-1205,WH-WEST,2025-07-15,2025-07-25,2025-07-25,25,25,0,28.6,715.0,received
PO-1063,1,SUP-1002,EC-1580,WH-EAST,2025-07-29,2025-08-08,2025-08-08,150,148,2,22.3,3345.0,received
PO-1064,1,SUP-1002,EC-1455,WH-SOUTH,2025-07-22,2025-08-01,2025-07-30,50,49,1,15.7,785.0,received
PO-1065,1,SUP-1002,EC-1102,WH-SOUTH,2025-07-22,2025-08-01,2025-08-02,50,50,0,12.4,620.0,received
PO-1066,1,SUP-1002,EC-1205,WH-EAST,2025-07-29,2025-08-08,2025-08-09,50,49,1,28.6,1430.0,received
PO-1067,1,SUP-1003,IF-7995,WH-CENTRAL,2025-08-08,2025-08-15,2025-08-16,150,147,3,14.5,2175.0,received
PO-1068,1,SUP-1003,IF-7890,WH-SOUTH,2025-08-13,2025-08-20,2025-08-20,200,198,2,26.8,5360.0,received
PO-1069,1,SUP-1003,IF-8430,WH-SOUTH,2025-07-29,2025-08-05,2025-08-07,100,97,3,4.8,480.0,received
PO-1070,1,SUP-1003,IF-7455,WH-SOUTH,2025-08-04,2025-08-11,2025-08-11,50,50,0,18.7,935.0,received
PO-1071,1,SUP-1003,IF-7455,WH-WEST,2025-07-23,2025-07-30,2025-07-30,100,98,2,18.7,1870.0,received
PO-1072,1,SUP-1003,IF-7230,WH-WEST,2025-07-22,2025-07-29,2025-07-30,150,147,3,45.6,6840.0,received
PO-1073,1,SUP-1003,IF-7125,WH-SOUTH,2025-07-28,2025-08-04,2025-08-04,100,98,2,28.4,2840.0,received
PO-1074,1,SUP-1003,IF-7340,WH-SOUTH,2025-08-12,2025-08-19,2025-08-20,500,489,11,38.2,19100.0,received
PO-1075,1,SUP-1003,IF-8430,WH-SOUTH,2025-07-30,2025-08-06,2025-08-09,25,25,0,4.8,120.0,received
PO-1076,1,SUP-1003,IF-7675,WH-SOUTH,2025-08-01,2025-08-08,2025-08-09,250,244,6,8.4,2100.0,received
PO-1077,1,SUP-1003,IF-8540,WH-WEST,2025-07-30,2025-08-06,2025-08-06,50,49,1,15.3,765.0,received
PO-1078,1,SUP-1003,IF-7675,WH-CENTRAL,2025-08-05,2025-08-12,2025-08-14,250,244,6,8.4,2100.0,received
PO-1079,1,SUP-1003,IF-8430,WH-SOUTH,2025-08-13,2025-08-20,2025-08-25,50,49,1,4.8,240.0,received
PO-1080,1,SUP-1003,IF-8540,WH-SOUTH,2025-08-05,2025-08-12,2025-08-11,25,25,0,15.3,382.5,received
PO-1081,1,SUP-1003,IF-8430,WH-SOUTH,2025-07-16,2025-07-23,2025-07-23,100,99,1,4.8,480.0,received
PO-1082,1,SUP-1003,IF-7560,WH-CENTRAL,2025-08-08,2025-08-15,2025-08-15,150,146,4,21.3,3195.0,received
PO-1083,1,SUP-1003,IF-7675,WH-CENTRAL,2025-07-17,2025-07-24,2025-07-22,150,147,3,8.4,1260.0,received
PO-1084,1,SUP-1003,IF-7560,WH-WEST,2025-08-04,2025-08-11,2025-08-13,25,24,1,21.3,532.5,received
PO-1085,1,SUP-1003,IF-8320,WH-EAST,2025-07-22,2025-07-29,2025-07-31,50,49,1,6.4,320.0,received
PO-1086,1,SUP-1003,IF-7340,WH-WEST,2025-07-30,2025-08-06,2025-08-05,250,243,7,38.2,9550.0,received
PO-1087,1,SUP-1003,IF-7780,WH-CENTRAL,2025-08-08,2025-08-15,2025-08-15,100,98,2,12.6,1260.0,received
PO-1088,1,SUP-1003,IF-8215,WH-EAST,2025-08-08,2025-08-15,2025-08-15,500,494,6,11.2,5600.0,received
PO-1089,1,SUP-1003,IF-7995,WH-EAST,2025-08-13,2025-08-20,2025-08-21,100,97,3,14.5,1450.0,received
PO-1090,1,SUP-1003,IF-7675,WH-SOUTH,2025-08-06,2025-08-13,2025-08-12,50,49,1,8.4,420.0,received
PO-1091,1,SUP-1003,IF-8100,WH-WEST,2025-07-18,2025-07-25,2025-07-27,250,243,7,9.8,2450.0,received
PO-1092,1,SUP-1003,IF-7995,WH-EAST,2025-07-16,2025-07-23,2025-07-23,100,98,2,14.5,1450.0,received
PO-1093,1,SUP-1004,PB-4780,WH-CENTRAL,2025-07-15,2025-08-02,2025-08-02,500,491,9,9.5,4750.0,received
PO-1094,1,SUP-1004,PB-4675,WH-CENTRAL,2025-08-04,2025-08-22,2025-08-22,500,496,4,22.4,11200.0,received
PO-1095,1,SUP-1004,PB-4455,WH-CENTRAL,2025-08-13,2025-08-31,2025-09-02,200,197,3,14.3,2860.0,received
PO-1096,1,SUP-1004,PB-4995,WH-CENTRAL,2025-07-25,2025-08-12,2025-08-12,500,486,14,19.8,9900.0,received
PO-1097,1,SUP-1004,PB-4560,WH-SOUTH,2025-07-22,2025-08-09,2025-08-09,500,490,10,11.8,5900.0,received
PO-1098,1,SUP-1004,PB-4675,WH-CENTRAL,2025-07-15,2025-08-02,2025-08-04,150,149,1,22.4,3360.0,received
PO-1099,1,SUP-1004,PB-4455,WH-CENTRAL,2025-07-23,2025-08-10,2025-08-10,100,98,2,14.3,1430.0,received
PO-1100,1,SUP-1004,PB-4560,WH-EAST,2025-07-31,2025-08-18,2025-08-17,50,49,1,11.8,590.0,received
PO-1101,1,SUP-1004,PB-4675,WH-WEST,2025-08-06,2025-08-24,2025-08-25,150,147,3,22.4,3360.0,received
PO-1102,1,SUP-1004,PB-4995,WH-EAST,2025-07-17,2025-08-04,2025-08-04,100,98,2,19.8,1980.0,received
PO-1103,1,SUP-1004,PB-4560,WH-CENTRAL,2025-07-30,2025-08-17,2025-08-17,200,197,3,11.8,2360.0,received
PO-1104,1,SUP-1004,PB-4890,WH-CENTRAL,2025-08-06,2025-08-24,2025-08-24,150,148,2,26.7,4005.0,received
PO-1105,1,SUP-1004,PB-4340,WH-WEST,2025-07-25,2025-08-12,2025-08-13,25,24,1,28.9,722.5,received
PO-1106,1,SUP-1004,PB-4890,WH-WEST,2025-07-21,2025-08-08,2025-08-09,50,49,1,26.7,1335.0,received
PO-1107,1,SUP-1004,PB-4780,WH-CENTRAL,2025-07-18,2025-08-05,2025-08-05,500,495,5,9.5,4750.0,received
PO-1108,1,SUP-1004,PB-4455,WH-CENTRAL,2025-07-15,2025-08-02,2025-08-02,250,247,3,14.3,3575.0,received
PO-1109,1,SUP-1004,PB-4340,WH-CENTRAL,2025-08-06,2025-08-24,2025-08-25,50,49,1,28.9,1445.0,received
PO-1110,1,SUP-1004,PB-4340,WH-EAST,2025-07-24,2025-08-11,2025-08-11,150,148,2,28.9,4335.0,received
PO-1111,1,SUP-1004,PB-4340,WH-CENTRAL,2025-08-11,2025-08-29,2025-08-28,150,149,1,28.9,4335.0,received
PO-1112,1,SUP-1005,HF-1010,WH-EAST,2025-07-24,2025-08-14,2025-08-19,25,25,0,48.6,1215.0,received
PO-1113,1,SUP-1005,HF-1340,WH-WEST,2025-08-08,2025-08-29,2025-08-29,200,194,6,8.7,1740.0,received
PO-1114,1,SUP-1005,HF-1230,WH-SOUTH,2025-07-24,2025-08-14,2025-08-15,200,196,4,285.0,57000.0,received
PO-1115,1,SUP-1005,HF-1560,WH-EAST,2025-08-08,2025-08-29,2025-08-30,50,49,1,34.5,1725.0,received
PO-1116,1,SUP-1005,HF-1010,WH-WEST,2025-07-22,2025-08-12,2025-08-13,50,50,0,48.6,2430.0,received
PO-1117,1,SUP-1005,HF-1340,WH-SOUTH,2025-08-06,2025-08-27,2025-08-27,200,199,1,8.7,1740.0,received
PO-1118,1,SUP-1005,HF-1230,WH-CENTRAL,2025-08-06,2025-08-27,2025-08-27,500,489,11,285.0,142500.0,received
PO-1119,1,SUP-1005,HF-1230,WH-WEST,2025-07-28,2025-08-18,2025-08-18,25,24,1,285.0,7125.0,received
PO-1120,1,SUP-1005,HF-1230,WH-WEST,2025-07-17,2025-08-07,2025-08-07,25,25,0,285.0,7125.0,received
PO-1121,1,SUP-1005,HF-1560,WH-CENTRAL,2025-07-29,2025-08-19,2025-08-19,25,25,0,34.5,862.5,received
PO-1122,1,SUP-1005,HF-1340,WH-CENTRAL,2025-07-31,2025-08-21,2025-08-21,200,199,1,8.7,1740.0,received
PO-1123,1,SUP-1005,HF-1010,WH-SOUTH,2025-08-07,2025-08-28,2025-08-29,100,99,1,48.6,4860.0,received
PO-1124,1,SUP-1005,HF-1125,WH-EAST,2025-08-08,2025-08-29,2025-08-31,250,245,5,22.3,5575.0,received
PO-1125,1,SUP-1005,HF-1125,WH-SOUTH,2025-07-31,2025-08-21,2025-08-21,250,247,3,22.3,5575.0,received
PO-1126,1,SUP-1005,HF-1455,WH-SOUTH,2025-08-04,2025-08-25,2025-08-25,500,496,4,14.2,7100.0,received
PO-1127,1,SUP-1005,HF-1230,WH-SOUTH,2025-07-25,2025-08-15,2025-08-16,100,97,3,285.0,28500.0,received
PO-1128,1,SUP-1005,HF-1230,WH-SOUTH,2025-08-06,2025-08-27,2025-08-27,150,146,4,285.0,42750.0,received
PO-1129,1,SUP-1005,HF-1455,WH-EAST,2025-07-29,2025-08-19,2025-08-19,25,25,0,14.2,355.0,received
PO-1130,1,SUP-1005,HF-1340,WH-EAST,2025-08-05,2025-08-26,2025-08-26,500,492,8,8.7,4350.0,received
PO-1131,1,SUP-1005,HF-1125,WH-CENTRAL,2025-08-08,2025-08-29,2025-08-30,150,146,4,22.3,3345.0,received
PO-1132,1,SUP-1005,HF-1125,WH-CENTRAL,2025-08-01,2025-08-22,2025-08-25,50,49,1,22.3,1115.0,received
PO-1133,1,SUP-1005,HF-1560,WH-SOUTH,2025-07-18,2025-08-08,2025-08-11,25,24,1,34.5,862.5,received
PO-1134,1,SUP-1005,HF-1125,WH-WEST,2025-07-24,2025-08-14,2025-08-12,200,197,3,22.3,4460.0,received
PO-1135,1,SUP-1005,HF-1125,WH-EAST,2025-07-29,2025-08-19,2025-08-20,25,25,0,22.3,557.5,received
PO-1136,1,SUP-1005,HF-1560,WH-CENTRAL,2025-07-31,2025-08-21,2025-08-21,250,244,6,34.5,8625.0,received
PO-1137,1,SUP-1006,SE-1125,WH-SOUTH,2025-08-01,2025-08-06,2025-08-06,50,49,1,8.6,430.0,received
PO-1138,1,SUP-1006,SE-1455,WH-WEST,2025-08-11,2025-08-16,2025-08-16,25,24,1,18.5,462.5,received
PO-1139,1,SUP-1006,SE-1340,WH-CENTRAL,2025-08-13,2025-08-18,2025-08-18,500,487,13,14.2,7100.0,received
PO-1140,1,SUP-1006,SE-1230,WH-CENTRAL,2025-08-05,2025-08-10,2025-08-12,150,148,2,125.0,18750.0,received
PO-1141,1,SUP-1006,SE-1340,WH-CENTRAL,2025-07-25,2025-07-30,2025-08-01,200,197,3,14.2,2840.0,received
PO-1142,1,SUP-1006,SE-1230,WH-WEST,2025-08-06,2025-08-11,2025-08-12,50,49,1,125.0,6250.0,received
PO-1143,1,SUP-1006,SE-1340,WH-EAST,2025-07-25,2025-07-30,2025-07-30,250,243,7,14.2,3550.0,received
PO-1144,1,SUP-1006,SE-1340,WH-SOUTH,2025-08-05,2025-08-10,2025-08-12,500,485,15,14.2,7100.0,received
PO-1145,1,SUP-1006,SE-1340,WH-EAST,2025-07-31,2025-08-05,2025-08-05,200,198,2,14.2,2840.0,received
PO-1146,1,SUP-1006,SE-1340,WH-EAST,2025-07-31,2025-08-05,2025-08-03,150,149,1,14.2,2130.0,received
PO-1147,1,SUP-1006,SE-1560,WH-WEST,2025-07-17,2025-07-22,2025-07-24,150,148,2,11.3,1695.0,received
PO-1148,1,SUP-1006,SE-1455,WH-SOUTH,2025-08-04,2025-08-09,2025-08-11,25,24,1,18.5,462.5,received
PO-1149,1,SUP-1006,SE-1455,WH-SOUTH,2025-07-25,2025-07-30,2025-07-31,250,244,6,18.5,4625.0,received
PO-1150,1,SUP-1006,SE-1455,WH-EAST,2025-07-17,2025-07-22,2025-07-23,50,49,1,18.5,925.0,received
PO-1151,1,SUP-1006,SE-1125,WH-EAST,2025-07-28,2025-08-02,2025-08-04,25,24,1,8.6,215.0,received
PO-1152,1,SUP-1007,EC-2050,WH-WEST,2025-08-06,2025-08-22,2025-08-25,100,99,1,2.1,210.0,received
PO-1153,1,SUP-1007,EC-1720,WH-CENTRAL,2025-07-28,2025-08-13,2025-08-13,50,49,1,3.2,160.0,received
PO-1154,1,SUP-1007,EC-2275,WH-WEST,2025-07-17,2025-08-02,2025-08-04,200,196,4,24.5,4900.0,received
PO-1155,1,SUP-1007,EC-1835,WH-SOUTH,2025-08-13,2025-08-29,2025-08-28,200,197,3,6.8,1360.0,received
PO-1156,1,SUP-1007,EC-1940,WH-SOUTH,2025-07-23,2025-08-08,2025-08-06,250,244,6,18.9,4725.0,received
PO-1157,1,SUP-1007,EC-1940,WH-WEST,2025-07-17,2025-08-02,2025-08-05,150,146,4,18.9,2835.0,received
PO-1158,1,SUP-1007,EC-1940,WH-SOUTH,2025-08-06,2025-08-22,2025-08-22,100,99,1,18.9,1890.0,received
PO-1159,1,SUP-1007,EC-2050,WH-SOUTH,2025-07-18,2025-08-03,2025-08-03,50,49,1,2.1,105.0,received
PO-1160,1,SUP-1007,EC-1940,WH-CENTRAL,2025-07-15,2025-07-31,2025-08-01,500,494,6,18.9,9450.0,received
PO-1161,1,SUP-1008,IF-8430,WH-SOUTH,2025-08-12,2025-08-17,2025-08-19,100,99,1,4.8,480.0,received
PO-1162,1,SUP-1008,IF-8215,WH-WEST,2025-08-04,2025-08-09,2025-08-10,50,49,1,11.2,560.0,received
PO-1163,1,SUP-1008,IF-8540,WH-WEST,2025-08-04,2025-08-09,2025-08-12,25,24,1,15.3,382.5,received
PO-1164,1,SUP-1008,IF-8215,WH-SOUTH,2025-07-16,2025-07-21,2025-07-21,200,198,2,11.2,2240.0,received
PO-1165,1,SUP-1008,IF-8215,WH-CENTRAL,2025-08-07,2025-08-12,2025-08-12,150,149,1,11.2,1680.0,received
PO-1166,1,SUP-1008,IF-8430,WH-CENTRAL,2025-07-31,2025-08-05,2025-08-08,200,195,5,4.8,960.0,received
PO-1167,1,SUP-1008,IF-8215,WH-SOUTH,2025-07-24,2025-07-29,2025-07-31,250,244,6,11.2,2800.0,received
PO-1168,1,SUP-1008,IF-8320,WH-EAST,2025-08-08,2025-08-13,2025-08-15,50,49,1,6.4,320.0,received
PO-1169,1,SUP-1009,PB-5760,WH-CENTRAL,2025-07-17,2025-08-11,2025-08-11,500,494,6,135.0,67500.0,received
PO-1170,1,SUP-1009,PB-5100,WH-SOUTH,2025-08-05,2025-08-30,2025-08-31,250,245,5,16.2,4050.0,received
PO-1171,1,SUP-1009,PB-5760,WH-CENTRAL,2025-07-18,2025-08-12,2025-08-12,250,249,1,135.0,33750.0,received
PO-1172,1,SUP-1009,PB-5540,WH-CENTRAL,2025-08-13,2025-09-07,2025-09-07,200,199,1,3.4,680.0,received
PO-1173,1,SUP-1009,PB-5760,WH-SOUTH,2025-08-13,2025-09-07,2025-09-07,250,246,4,135.0,33750.0,received
PO-1174,1,SUP-1009,PB-5215,WH-EAST,2025-07-16,2025-08-10,2025-08-15,100,99,1,8.7,870.0,received
PO-1175,1,SUP-1009,PB-5215,WH-WEST,2025-07-29,2025-08-23,2025-08-24,100,98,2,8.7,870.0,received
PO-1176,1,SUP-1009,PB-5540,WH-SOUTH,2025-08-07,2025-09-01,2025-09-01,250,246,4,3.4,850.0,received
PO-1177,1,SUP-1009,PB-5100,WH-SOUTH,2025-07-28,2025-08-22,2025-08-20,100,99,1,16.2,1620.0,received
PO-1178,1,SUP-1009,PB-5430,WH-SOUTH,2025-07-22,2025-08-16,2025-08-16,500,485,15,245.0,122500.0,received
PO-1179,1,SUP-1009,PB-5320,WH-CENTRAL,2025-07-16,2025-08-10,2025-08-10,150,146,4,13.6,2040.0,received
PO-1180,1,SUP-1009,PB-5760,WH-SOUTH,2025-07-17,2025-08-11,2025-08-11,250,245,5,135.0,33750.0,received
PO-1181,1,SUP-1009,PB-5100,WH-EAST,2025-07-25,2025-08-19,2025-08-24,50,49,1,16.2,810.0,received
PO-1182,1,SUP-1009,PB-5215,WH-EAST,2025-08-08,2025-09-02,2025-09-02,200,198,2,8.7,1740.0,received
PO-1183,1,SUP-1010,HF-1890,WH-WEST,2025-08-12,2025-08-22,2025-08-20,200,195,5,195.0,39000.0,received
PO-1184,1,SUP-1010,HF-1780,WH-WEST,2025-08-01,2025-08-11,2025-08-13,100,99,1,42.1,4210.0,received
PO-1185,1,SUP-1010,HF-1675,WH-WEST,2025-07-15,2025-07-25,2025-07-27,100,99,1,28.9,2890.0,received
PO-1186,1,SUP-1010,HF-1890,WH-EAST,2025-07-23,2025-08-02,2025-08-01,25,25,0,195.0,4875.0,received
PO-1187,1,SUP-1010,HF-1675,WH-EAST,2025-07-30,2025-08-09,2025-08-11,150,147,3,28.9,4335.0,received
PO-1188,1,SUP-1010,HF-1675,WH-SOUTH,2025-07-31,2025-08-10,2025-08-13,50,50,0,28.9,1445.0,received
PO-1189,1,SUP-1010,HF-2215,WH-CENTRAL,2025-07-29,2025-08-08,2025-08-11,250,248,2,24.7,6175.0,received
PO-1190,1,SUP-1010,HF-1995,WH-SOUTH,2025-07-28,2025-08-07,2025-08-06,250,244,6,18.6,4650.0,received
PO-1191,1,SUP-1010,HF-1995,WH-EAST,2025-08-12,2025-08-22,2025-08-22,25,25,0,18.6,465.0,received
PO-1192,1,SUP-1010,HF-1780,WH-CENTRAL,2025-08-04,2025-08-14,2025-08-14,200,197,3,42.1,8420.0,received
PO-1193,1,SUP-1010,HF-2100,WH-CENTRAL,2025-07-29,2025-08-08,2025-08-09,200,199,1,6.3,1260.0,received
PO-1194,1,SUP-1011,SE-2215,WH-WEST,2025-07-28,2025-08-05,2025-08-07,150,148,2,6.8,1020.0,received
PO-1195,1,SUP-1011,SE-1995,WH-SOUTH,2025-07-28,2025-08-05,2025-08-04,250,246,4,45.6,11400.0,received
PO-1196,1,SUP-1011,SE-2215,WH-CENTRAL,2025-08-05,2025-08-13,2025-08-12,150,146,4,6.8,1020.0,received
PO-1197,1,SUP-1011,SE-1675,WH-SOUTH,2025-07-18,2025-07-26,2025-07-27,250,244,6,28.7,7175.0,received
PO-1198,1,SUP-1011,SE-2100,WH-EAST,2025-08-01,2025-08-09,2025-08-09,200,198,2,9.4,1880.0,received
PO-1199,1,SUP-1011,SE-1890,WH-SOUTH,2025-08-11,2025-08-19,2025-08-18,250,247,3,62.4,15600.0,received
PO-1200,1,SUP-1011,SE-1890,WH-CENTRAL,2025-07-18,2025-07-26,2025-07-26,200,198,2,62.4,12480.0,received
PO-1201,1,SUP-1011,SE-1995,WH-WEST,2025-08-11,2025-08-19,2025-08-19,25,25,0,45.6,1140.0,received
PO-1202,1,SUP-1011,SE-1675,WH-CENTRAL,2025-07-22,2025-07-30,2025-07-30,500,490,10,28.7,14350.0,received
PO-1203,1,SUP-1012,PB-6280,WH-CENTRAL,2025-07-15,2025-08-04,2025-08-04,50,49,1,14.5,725.0,received
PO-1204,1,SUP-1012,PB-6090,WH-CENTRAL,2025-07-15,2025-08-04,2025-08-06,50,49,1,58.4,2920.0,received
PO-1205,1,SUP-1012,PB-6195,WH-EAST,2025-08-07,2025-08-27,2025-08-30,250,248,2,12.1,3025.0,received
