forecast_id,product_id,warehouse_id,forecast_date,period_start,period_end,forecast_qty,forecast_method,confidence_level,created_by
FC-00021,EC-2790,WH-EAST,2025-07-02,2025-07-15,2025-08-13,82,statistical,0.7,System
FC-00022,EC-2885,WH-CENTRAL,2025-07-02,2025-07-15,2025-08-13,48,statistical,0.84,System
FC-00023,EC-2970,WH-EAST,2025-07-02,2025-07-15,2025-08-13,56,statistical,0.71,System
FC-00024,EC-3100,WH-CENTRAL,2025-07-02,2025-07-15,2025-08-13,58,statistical,0.71,System
FC-00025,PB-4010,WH-CENTRAL,2025-07-02,2025-07-15,2025-08-13,388,consensus,0.81,System
FC-00026,PB-4125,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,386,statistical,0.72,System
FC-00027,PB-4230,WH-WEST,2025-07-02,2025-07-15,2025-08-13,374,statistical,0.91,System
FC-00028,PB-4340,WH-EAST,2025-07-02,2025-07-15,2025-08-13,171,consensus,0.74,System
FC-00029,PB-4455,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,152,consensus,0.75,System
FC-00030,PB-4560,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,172,statistical,0.71,System
FC-00031,PB-4675,WH-EAST,2025-07-02,2025-07-15,2025-08-13,183,statistical,0.78,System
FC-00032,PB-4780,WH-WEST,2025-07-02,2025-07-15,2025-08-13,165,statistical,0.71,System
FC-00033,PB-4890,WH-WEST,2025-07-02,2025-07-15,2025-08-13,154,consensus,0.87,System
FC-00034,PB-4995,WH-WEST,2025-07-02,2025-07-15,2025-08-13,157,statistical,0.93,System
FC-00035,PB-5100,WH-WEST,2025-07-02,2025-07-15,2025-08-13,72,statistical,0.79,System
FC-00036,PB-5215,WH-WEST,2025-07-02,2025-07-15,2025-08-13,78,statistical,0.76,System
FC-00037,PB-5320,WH-WEST,2025-07-02,2025-07-15,2025-08-13,76,consensus,0.81,System
FC-00038,PB-5430,WH-WEST,2025-07-02,2025-07-15,2025-08-13,51,statistical,0.8,System
FC-00039,PB-5540,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,52,consensus,0.87,System
FC-00040,PB-5650,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,60,statistical,0.89,System
FC-00041,PB-5760,WH-EAST,2025-07-02,2025-07-15,2025-08-13,56,consensus,0.84,System
FC-00042,PB-5870,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,50,consensus,0.86,System
FC-00043,PB-5980,WH-CENTRAL,2025-07-02,2025-07-15,2025-08-13,49,statistical,0.94,System
FC-00044,PB-6090,WH-EAST,2025-07-02,2025-07-15,2025-08-13,50,manual_override,0.82,System
FC-00045,PB-6195,WH-CENTRAL,2025-07-02,2025-07-15,2025-08-13,75,statistical,0.76,System
FC-00046,PB-6280,WH-WEST,2025-07-02,2025-07-15,2025-08-13,76,statistical,0.83,System
FC-00047,PB-6370,WH-CENTRAL,2025-07-02,2025-07-15,2025-08-13,65,statistical,0.73,System
FC-00048,PB-6460,WH-EAST,2025-07-02,2025-07-15,2025-08-13,84,statistical,0.72,System
FC-00049,IF-7010,WH-CENTRAL,2025-07-02,2025-07-15,2025-08-13,396,statistical,0.93,System
FC-00050,IF-7125,WH-WEST,2025-07-02,2025-07-15,2025-08-13,385,statistical,0.82,System
FC-00051,IF-7230,WH-EAST,2025-07-02,2025-07-15,2025-08-13,394,statistical,0.94,System
FC-00052,IF-7340,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,150,consensus,0.79,System
FC-00053,IF-7455,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,175,statistical,0.74,System
FC-00054,IF-7560,WH-CENTRAL,2025-07-02,2025-07-15,2025-08-13,164,statistical,0.75,System
FC-00055,IF-7675,WH-CENTRAL,2025-07-02,2025-07-15,2025-08-13,169,statistical,0.93,System
FC-00056,IF-7780,WH-CENTRAL,2025-07-02,2025-07-15,2025-08-13,160,statistical,0.9,System
FC-00057,IF-7890,WH-EAST,2025-07-02,2025-07-15,2025-08-13,169,manual_override,0.72,System
FC-00058,IF-7995,WH-EAST,2025-07-02,2025-07-15,2025-08-13,165,consensus,0.92,System
FC-00059,IF-8100,WH-EAST,2025-07-02,2025-07-15,2025-08-13,60,consensus,0.92,System
FC-00060,IF-8215,WH-CENTRAL,2025-07-02,2025-07-15,2025-08-13,75,statistical,0.77,System
FC-00061,IF-8320,WH-WEST,2025-07-02,2025-07-15,2025-08-13,86,statistical,0.82,System
FC-00062,IF-8430,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,81,statistical,0.75,System
FC-00063,IF-8540,WH-WEST,2025-07-02,2025-07-15,2025-08-13,61,consensus,0.74,System
FC-00064,IF-8650,WH-CENTRAL,2025-07-02,2025-07-15,2025-08-13,64,consensus,0.8,System
FC-00065,IF-8760,WH-EAST,2025-07-02,2025-07-15,2025-08-13,66,statistical,0.94,System
FC-00066,IF-8870,WH-EAST,2025-07-02,2025-07-15,2025-08-13,80,statistical,0.8,System
FC-00067,IF-8980,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,88,statistical,0.94,System
FC-00068,IF-9090,WH-CENTRAL,2025-07-02,2025-07-15,2025-08-13,54,statistical,0.91,System
FC-00069,IF-9195,WH-EAST,2025-07-02,2025-07-15,2025-08-13,70,statistical,0.73,System
FC-00070,IF-9280,WH-WEST,2025-07-02,2025-07-15,2025-08-13,88,consensus,0.71,System
FC-00071,IF-9370,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,52,statistical,0.76,System
FC-00072,IF-9460,WH-CENTRAL,2025-07-02,2025-07-15,2025-08-13,54,statistical,0.72,System
FC-00073,HF-1010,WH-CENTRAL,2025-07-02,2025-07-15,2025-08-13,391,consensus,0.92,System
FC-00074,HF-1125,WH-WEST,2025-07-02,2025-07-15,2025-08-13,396,manual_override,0.91,R. Patel
FC-00075,HF-1230,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,385,consensus,0.77,System
FC-00076,HF-1340,WH-EAST,2025-07-02,2025-07-15,2025-08-13,189,statistical,0.88,System
FC-00077,HF-1455,WH-WEST,2025-07-02,2025-07-15,2025-08-13,154,statistical,0.9,System
FC-00078,HF-1560,WH-CENTRAL,2025-07-02,2025-07-15,2025-08-13,187,statistical,0.75,System
FC-00079,HF-1675,WH-EAST,2025-07-02,2025-07-15,2025-08-13,157,statistical,0.95,System
FC-00080,HF-1780,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,170,statistical,0.85,System
FC-00081,HF-1890,WH-CENTRAL,2025-07-02,2025-07-15,2025-08-13,167,statistical,0.83,System
FC-00082,HF-1995,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,151,consensus,0.87,System
FC-00083,HF-2100,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,73,manual_override,0.89,R. Patel
FC-00084,HF-2215,WH-WEST,2025-07-02,2025-07-15,2025-08-13,48,statistical,0.86,System
FC-00085,HF-2320,WH-WEST,2025-07-02,2025-07-15,2025-08-13,48,consensus,0.75,System
FC-00086,HF-2430,WH-EAST,2025-07-02,2025-07-15,2025-08-13,62,consensus,0.77,System
FC-00087,HF-2540,WH-CENTRAL,2025-07-02,2025-07-15,2025-08-13,57,statistical,0.85,System
FC-00088,HF-2650,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,55,statistical,0.86,System
FC-00089,HF-2760,WH-EAST,2025-07-02,2025-07-15,2025-08-13,50,statistical,0.73,System
FC-00090,HF-2870,WH-EAST,2025-07-02,2025-07-15,2025-08-13,78,statistical,0.72,System
FC-00091,HF-2980,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,81,consensus,0.73,System
FC-00092,HF-3090,WH-EAST,2025-07-02,2025-07-15,2025-08-13,88,manual_override,0.94,A. Chen
FC-00093,HF-3195,WH-WEST,2025-07-02,2025-07-15,2025-08-13,86,statistical,0.77,System
FC-00094,HF-3280,WH-EAST,2025-07-02,2025-07-15,2025-08-13,88,statistical,0.9,System
FC-00095,HF-3370,WH-WEST,2025-07-02,2025-07-15,2025-08-13,74,consensus,0.74,System
FC-00096,HF-3460,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,69,consensus,0.83,System
FC-00097,SE-1010,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,385,consensus,0.8,System
FC-00098,SE-1125,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,399,consensus,0.8,System
FC-00099,SE-1230,WH-EAST,2025-07-02,2025-07-15,2025-08-13,374,consensus,0.8,System
FC-00100,SE-1340,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,190,consensus,0.8,System
FC-00101,SE-1455,WH-EAST,2025-07-02,2025-07-15,2025-08-13,189,consensus,0.8,System
FC-00102,SE-1560,WH-WEST,2025-07-02,2025-07-15,2025-08-13,153,consensus,0.8,System
FC-00103,SE-1675,WH-CENTRAL,2025-07-02,2025-07-15,2025-08-13,185,consensus,0.8,System
FC-00104,SE-1780,WH-CENTRAL,2025-07-02,2025-07-15,2025-08-13,170,consensus,0.8,System
FC-00105,SE-1890,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,180,consensus,0.8,System
FC-00106,SE-1995,WH-WEST,2025-07-02,2025-07-15,2025-08-13,187,consensus,0.8,System
FC-00107,SE-2100,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,75,consensus,0.8,System
FC-00108,SE-2215,WH-EAST,2025-07-02,2025-07-15,2025-08-13,61,consensus,0.8,System
FC-00109,SE-2320,WH-EAST,2025-07-02,2025-07-15,2025-08-13,49,consensus,0.8,System
FC-00110,SE-2430,WH-CENTRAL,2025-07-02,2025-07-15,2025-08-13,64,consensus,0.8,System
FC-00111,SE-2540,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,72,consensus,0.8,System
FC-00112,SE-2650,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,52,consensus,0.8,System
FC-00113,SE-2760,WH-CENTRAL,2025-07-02,2025-07-15,2025-08-13,76,consensus,0.8,System
FC-00114,SE-2870,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,81,consensus,0.8,System
FC-00115,SE-2980,WH-WEST,2025-07-02,2025-07-15,2025-08-13,57,consensus,0.8,System
FC-00116,SE-3090,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,85,consensus,0.8,System
FC-00117,SE-3195,WH-CENTRAL,2025-07-02,2025-07-15,2025-08-13,82,consensus,0.8,System
FC-00118,SE-3280,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,77,consensus,0.8,System
FC-00119,SE-3370,WH-WEST,2025-07-02,2025-07-15,2025-08-13,53,consensus,0.8,System
FC-00120,SE-3460,WH-EAST,2025-07-02,2025-07-15,2025-08-13,63,consensus,0.8,System
FC-00121,EC-1847,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,402,consensus,0.94,System
FC-00122,EC-2291,WH-EAST,2025-08-05,2025-08-14,2025-09-12,381,statistical,0.8,System
FC-00123,EC-3004,WH-SOUTH,2025-08-05,2025-08-14,2025-09-12,374,statistical,0.87,System
FC-00124,EC-3517,WH-WEST,2025-08-05,2025-08-14,2025-09-12,383,consensus,0.78,System
FC-00125,EC-1102,WH-EAST,2025-08-05,2025-08-14,2025-09-12,182,consensus,0.87,System
FC-00126,EC-1205,WH-WEST,2025-08-05,2025-08-14,2025-09-12,175,consensus,0.94,System
FC-00127,EC-1330,WH-EAST,2025-08-05,2025-08-14,2025-09-12,163,consensus,0.88,System
FC-00128,EC-1455,WH-SOUTH,2025-08-05,2025-08-14,2025-09-12,182,consensus,0.75,System
FC-00129,EC-1580,WH-EAST,2025-08-05,2025-08-14,2025-09-12,181,statistical,0.94,System
FC-00130,EC-1610,WH-SOUTH,2025-08-05,2025-08-14,2025-09-12,158,manual_override,0.75,A. Chen
FC-00131,EC-1720,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,69,consensus,0.83,System
FC-00132,EC-1835,WH-EAST,2025-08-05,2025-08-14,2025-09-12,81,statistical,0.94,System
FC-00133,EC-1940,WH-WEST,2025-08-05,2025-08-14,2025-09-12,51,statistical,0.93,System
FC-00134,EC-2050,WH-EAST,2025-08-05,2025-08-14,2025-09-12,85,consensus,0.88,System
FC-00135,EC-2160,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,53,statistical,0.73,System
FC-00136,EC-2275,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,62,consensus,0.84,System
FC-00137,EC-2380,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,68,statistical,0.76,System
FC-00138,EC-2490,WH-SOUTH,2025-08-05,2025-08-14,2025-09-12,66,statistical,0.89,System
FC-00139,EC-2595,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,78,statistical,0.87,System
FC-00140,EC-2680,WH-WEST,2025-08-05,2025-08-14,2025-09-12,50,statistical,0.87,System
FC-00141,EC-2790,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,57,statistical,0.83,System
FC-00142,EC-2885,WH-WEST,2025-08-05,2025-08-14,2025-09-12,85,statistical,0.88,System
FC-00143,EC-2970,WH-WEST,2025-08-05,2025-08-14,2025-09-12,54,statistical,0.94,System
FC-00144,EC-3100,WH-SOUTH,2025-08-05,2025-08-14,2025-09-12,57,statistical,0.84,System
FC-00145,PB-4010,WH-SOUTH,2025-08-05,2025-08-14,2025-09-12,371,statistical,0.72,System
FC-00146,PB-4125,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,385,consensus,0.8,System
FC-00147,PB-4230,WH-EAST,2025-08-05,2025-08-14,2025-09-12,386,statistical,0.74,System
FC-00148,PB-4340,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,159,statistical,0.74,System
FC-00149,PB-4455,WH-EAST,2025-08-05,2025-08-14,2025-09-12,158,statistical,0.76,System
FC-00150,PB-4560,WH-EAST,2025-08-05,2025-08-14,2025-09-12,182,consensus,0.8,System
FC-00151,PB-4675,WH-EAST,2025-08-05,2025-08-14,2025-09-12,154,statistical,0.83,System
FC-00152,PB-4780,WH-EAST,2025-08-05,2025-08-14,2025-09-12,176,statistical,0.9,System
FC-00153,PB-4890,WH-EAST,2025-08-05,2025-08-14,2025-09-12,187,consensus,0.92,System
FC-00154,PB-4995,WH-EAST,2025-08-05,2025-08-14,2025-09-12,174,statistical,0.92,System
FC-00155,PB-5100,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,74,statistical,0.93,System
FC-00156,PB-5215,WH-WEST,2025-08-05,2025-08-14,2025-09-12,65,statistical,0.87,System
FC-00157,PB-5320,WH-SOUTH,2025-08-05,2025-08-14,2025-09-12,55,consensus,0.77,System
FC-00158,PB-5430,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,79,statistical,0.76,System
FC-00159,PB-5540,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,56,consensus,0.83,System
FC-00160,PB-5650,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,75,statistical,0.73,System
FC-00161,PB-5760,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,83,consensus,0.84,System
FC-00162,PB-5870,WH-EAST,2025-08-05,2025-08-14,2025-09-12,72,statistical,0.74,System
FC-00163,PB-5980,WH-EAST,2025-08-05,2025-08-14,2025-09-12,85,consensus,0.85,System
FC-00164,PB-6090,WH-SOUTH,2025-08-05,2025-08-14,2025-09-12,78,consensus,0.87,System
FC-00165,PB-6195,WH-EAST,2025-08-05,2025-08-14,2025-09-12,71,consensus,0.86,System
FC-00166,PB-6280,WH-WEST,2025-08-05,2025-08-14,2025-09-12,82,statistical,0.75,System
FC-00167,PB-6370,WH-EAST,2025-08-05,2025-08-14,2025-09-12,82,consensus,0.79,System
FC-00168,PB-6460,WH-SOUTH,2025-08-05,2025-08-14,2025-09-12,62,manual_override,0.72,R. Patel
FC-00169,IF-7010,WH-WEST,2025-08-05,2025-08-14,2025-09-12,403,manual_override,0.77,R. Patel
FC-00170,IF-7125,WH-WEST,2025-08-05,2025-08-14,2025-09-12,406,manual_override,0.83,System
FC-00171,IF-7230,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,403,statistical,0.71,System
FC-00172,IF-7340,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,190,statistical,0.93,System
FC-00173,IF-7455,WH-EAST,2025-08-05,2025-08-14,2025-09-12,186,consensus,0.87,System
FC-00174,IF-7560,WH-EAST,2025-08-05,2025-08-14,2025-09-12,173,statistical,0.75,System
FC-00175,IF-7675,WH-WEST,2025-08-05,2025-08-14,2025-09-12,171,statistical,0.89,System
FC-00176,IF-7780,WH-EAST,2025-08-05,2025-08-14,2025-09-12,164,statistical,0.94,System
FC-00177,IF-7890,WH-SOUTH,2025-08-05,2025-08-14,2025-09-12,175,statistical,0.84,System
FC-00178,IF-7995,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,183,statistical,0.72,System
FC-00179,IF-8100,WH-SOUTH,2025-08-05,2025-08-14,2025-09-12,66,statistical,0.84,System
FC-00180,IF-8215,WH-SOUTH,2025-08-05,2025-08-14,2025-09-12,60,consensus,0.85,System
FC-00181,IF-8320,WH-WEST,2025-08-05,2025-08-14,2025-09-12,50,manual_override,0.79,A. Chen
FC-00182,IF-8430,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,70,statistical,0.72,System
FC-00183,IF-8540,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,67,consensus,0.84,System
FC-00184,IF-8650,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,62,statistical,0.86,System
FC-00185,IF-8760,WH-EAST,2025-08-05,2025-08-14,2025-09-12,64,consensus,0.94,System
FC-00186,IF-8870,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,58,statistical,0.83,System
FC-00187,IF-8980,WH-EAST,2025-08-05,2025-08-14,2025-09-12,81,consensus,0.7,System
FC-00188,IF-9090,WH-SOUTH,2025-08-05,2025-08-14,2025-09-12,64,statistical,0.76,System
FC-00189,IF-9195,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,62,statistical,0.91,System
FC-00190,IF-9280,WH-WEST,2025-08-05,2025-08-14,2025-09-12,69,statistical,0.92,System
FC-00191,IF-9370,WH-EAST,2025-08-05,2025-08-14,2025-09-12,59,consensus,0.86,System
FC-00192,IF-9460,WH-SOUTH,2025-08-05,2025-08-14,2025-09-12,53,statistical,0.92,System
FC-00193,HF-1010,WH-EAST,2025-08-05,2025-08-14,2025-09-12,375,statistical,0.87,System
FC-00194,HF-1125,WH-EAST,2025-08-05,2025-08-14,2025-09-12,404,consensus,0.74,System
FC-00195,HF-1230,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,384,statistical,0.89,System
FC-00196,HF-1340,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,189,consensus,0.94,System
FC-00197,HF-1455,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,169,manual_override,0.91,System
FC-00198,HF-1560,WH-SOUTH,2025-08-05,2025-08-14,2025-09-12,171,statistical,0.72,System
FC-00199,HF-1675,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,167,consensus,0.83,System
FC-00200,HF-1780,WH-WEST,2025-08-05,2025-08-14,2025-09-12,163,statistical,0.92,System
FC-00201,HF-1890,WH-WEST,2025-08-05,2025-08-14,2025-09-12,170,manual_override,0.78,System
FC-00202,HF-1995,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,190,consensus,0.71,System
FC-00203,HF-2100,WH-EAST,2025-08-05,2025-08-14,2025-09-12,66,statistical,0.8,System
FC-00204,HF-2215,WH-EAST,2025-08-05,2025-08-14,2025-09-12,51,statistical,0.89,System
FC-00205,HF-2320,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,80,consensus,0.71,System
FC-00206,HF-2430,WH-SOUTH,2025-08-05,2025-08-14,2025-09-12,53,consensus,0.86,System
FC-00207,HF-2540,WH-EAST,2025-08-05,2025-08-14,2025-09-12,89,statistical,0.78,System
FC-00208,HF-2650,WH-WEST,2025-08-05,2025-08-14,2025-09-12,67,statistical,0.72,System
FC-00209,HF-2760,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,81,consensus,0.75,System
FC-00210,HF-2870,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,86,statistical,0.91,System
FC-00211,HF-2980,WH-EAST,2025-08-05,2025-08-14,2025-09-12,67,statistical,0.83,System
FC-00212,HF-3090,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,86,consensus,0.71,System
FC-00213,HF-3195,WH-SOUTH,2025-08-05,2025-08-14,2025-09-12,67,manual_override,0.8,System
FC-00214,HF-3280,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,62,manual_override,0.87,A. Chen
FC-00215,HF-3370,WH-SOUTH,2025-08-05,2025-08-14,2025-09-12,70,statistical,0.94,System
FC-00216,HF-3460,WH-EAST,2025-08-05,2025-08-14,2025-09-12,89,statistical,0.86,System
FC-00217,SE-1010,WH-WEST,2025-08-05,2025-08-14,2025-09-12,389,consensus,0.8,System
FC-00218,SE-1125,WH-EAST,2025-08-05,2025-08-14,2025-09-12,386,consensus,0.8,System
FC-00219,SE-1230,WH-WEST,2025-08-05,2025-08-14,2025-09-12,376,consensus,0.8,System
FC-00220,SE-1340,WH-WEST,2025-08-05,2025-08-14,2025-09-12,168,consensus,0.8,System
FC-00221,SE-1455,WH-WEST,2025-08-05,2025-08-14,2025-09-12,180,consensus,0.8,System
FC-00222,SE-1560,WH-WEST,2025-08-05,2025-08-14,2025-09-12,167,consensus,0.8,System
FC-00223,SE-1675,WH-SOUTH,2025-08-05,2025-08-14,2025-09-12,194,consensus,0.8,System
FC-00224,SE-1780,WH-EAST,2025-08-05,2025-08-14,2025-09-12,154,consensus,0.8,System
FC-00225,SE-1890,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,172,consensus,0.8,System
FC-00226,SE-1995,WH-SOUTH,2025-08-05,2025-08-14,2025-09-12,176,consensus,0.8,System
FC-00227,SE-2100,WH-EAST,2025-08-05,2025-08-14,2025-09-12,71,consensus,0.8,System
FC-00228,SE-2215,WH-SOUTH,2025-08-05,2025-08-14,2025-09-12,83,consensus,0.8,System
FC-00229,SE-2320,WH-SOUTH,2025-08-05,2025-08-14,2025-09-12,68,consensus,0.8,System
FC-00230,SE-2430,WH-EAST,2025-08-05,2025-08-14,2025-09-12,58,consensus,0.8,System
FC-00231,SE-2540,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,68,consensus,0.8,System
FC-00232,SE-2650,WH-EAST,2025-08-05,2025-08-14,2025-09-12,82,consensus,0.8,System
FC-00233,SE-2760,WH-SOUTH,2025-08-05,2025-08-14,2025-09-12,75,consensus,0.8,System
FC-00234,SE-2870,WH-EAST,2025-08-05,2025-08-14,2025-09-12,58,consensus,0.8,System
FC-00235,SE-2980,WH-EAST,2025-08-05,2025-08-14,2025-09-12,75,consensus,0.8,System
FC-00236,SE-3090,WH-SOUTH,2025-08-05,2025-08-14,2025-09-12,77,consensus,0.8,System
FC-00237,SE-3195,WH-SOUTH,2025-08-05,2025-08-14,2025-09-12,67,consensus,0.8,System
FC-00238,SE-3280,WH-EAST,2025-08-05,2025-08-14,2025-09-12,58,consensus,0.8,System
FC-00239,SE-3370,WH-EAST,2025-08-05,2025-08-14,2025-09-12,58,consensus,0.8,System
FC-00240,SE-3460,WH-CENTRAL,2025-08-05,2025-08-14,2025-09-12,76,consensus,0.8,System
FC-00241,EC-1847,WH-WEST,2025-09-08,2025-09-13,2025-10-12,397,consensus,0.83,System
FC-00242,EC-2291,WH-CENTRAL,2025-09-08,2025-09-13,2025-10-12,409,statistical,0.88,System
FC-00243,EC-3004,WH-WEST,2025-09-08,2025-09-13,2025-10-12,419,statistical,0.8,System
FC-00244,EC-3517,WH-EAST,2025-09-08,2025-09-13,2025-10-12,413,statistical,0.76,System
FC-00245,EC-1102,WH-WEST,2025-09-08,2025-09-13,2025-10-12,172,statistical,0.94,System
FC-00246,EC-1205,WH-CENTRAL,2025-09-08,2025-09-13,2025-10-12,200,statistical,0.74,System
FC-00247,EC-1330,WH-CENTRAL,2025-09-08,2025-09-13,2025-10-12,176,consensus,0.74,System
FC-00248,EC-1455,WH-SOUTH,2025-09-08,2025-09-13,2025-10-12,175,statistical,0.87,System
FC-00249,EC-1580,WH-WEST,2025-09-08,2025-09-13,2025-10-12,183,statistical,0.73,System
FC-00250,EC-1610,WH-EAST,2025-09-08,2025-09-13,2025-10-12,169,statistical,0.91,System
FC-00251,EC-1720,WH-EAST,2025-09-08,2025-09-13,2025-10-12,89,statistical,0.85,System
FC-00252,EC-1835,WH-EAST,2025-09-08,2025-09-13,2025-10-12,87,consensus,0.85,System
FC-00253,EC-1940,WH-WEST,2025-09-08,2025-09-13,2025-10-12,93,consensus,0.71,System
FC-00254,EC-2050,WH-WEST,2025-09-08,2025-09-13,2025-10-12,72,manual_override,0.77,A. Chen
FC-00255,EC-2160,WH-EAST,2025-09-08,2025-09-13,2025-10-12,80,consensus,0.91,System
FC-00256,EC-2275,WH-CENTRAL,2025-09-08,2025-09-13,2025-10-12,65,statistical,0.85,System
FC-00257,EC-2380,WH-SOUTH,2025-09-08,2025-09-13,2025-10-12,77,consensus,0.81,System
FC-00258,EC-2490,WH-EAST,2025-09-08,2025-09-13,2025-10-12,76,consensus,0.87,System
FC-00259,EC-2595,WH-WEST,2025-09-08,2025-09-13,2025-10-12,72,statistical,0.75,System
