shipment_id,reference_type,reference_id,carrier_name,mode,origin_warehouse_id,destination,ship_date,estimated_arrival,actual_arrival,freight_cost,is_expedited,weight_kg,status
SHP-5021,SO,SO-4892,Atlas Global Freight,LTL,WH-EAST,"Long Beach, CA",2025-08-08,2025-08-14,2025-08-15,346.96,False,195.4,delivered
SHP-5022,SO,SO-3009,Southern Route Transport,ground,WH-WEST,"Omaha, NE",2025-07-21,2025-07-29,2025-07-31,152.45,False,251.0,delayed
SHP-5023,SO,SO-6407,Continental Freight,LTL,WH-SOUTH,"Reno, NV",2025-07-23,2025-08-01,2025-08-01,362.74,False,47.9,delivered
SHP-5024,PO,PO-2313,FastTrack Logistics,LTL,WH-EAST,"Boston, MA",2025-08-13,2025-08-20,2025-08-23,178.67,False,498.7,delayed
SHP-5025,PO,PO-3422,FastTrack Logistics,air,WH-EAST,"Indianapolis, IN",2025-07-18,2025-07-19,2025-07-19,610.4,True,160.9,delivered
SHP-5026,SO,SO-7387,Midwest Express Shipping,ground,WH-EAST,"Long Beach, CA",2025-07-31,2025-08-08,2025-08-08,173.12,False,470.2,delivered
SHP-5027,SO,SO-2786,Pacific Coast Carriers,FTL,WH-WEST,"Portland, OR",2025-07-25,2025-08-04,2025-08-04,313.48,False,26.3,delivered
SHP-5028,SO,SO-5816,FastTrack Logistics,ground,WH-CENTRAL,"Indianapolis, IN",2025-07-29,2025-08-03,2025-08-03,225.76,False,169.5,delivered
SHP-5029,SO,SO-4812,Midwest Express Shipping,ground,WH-CENTRAL,"Omaha, NE",2025-07-17,2025-07-21,2025-07-21,267.01,False,313.1,delivered
SHP-5030,SO,SO-6552,Atlas Global Freight,FTL,WH-EAST,"Detroit, MI",2025-07-24,2025-07-27,2025-07-27,273.25,False,275.8,delivered
SHP-5031,PO,PO-1356,Midwest Express Shipping,ground,WH-CENTRAL,"Atlanta, GA",2025-07-23,2025-07-26,2025-07-26,293.68,False,233.7,delivered
SHP-5032,SO,SO-2395,Continental Freight,FTL,WH-EAST,"Charlotte, NC",2025-08-01,2025-08-11,2025-08-11,206.27,False,290.6,delivered
SHP-5033,SO,SO-4706,Pacific Coast Carriers,ground,WH-WEST,"Charlotte, NC",2025-08-08,2025-08-15,2025-08-15,221.23,False,70.7,delivered
SHP-5034,SO,SO-6298,Atlas Global Freight,ground,WH-CENTRAL,"Charlotte, NC",2025-07-23,2025-08-01,2025-07-31,168.67,False,199.5,delivered
SHP-5035,SO,SO-4447,Southern Route Transport,ground,WH-SOUTH,"Omaha, NE",2025-07-24,2025-07-28,2025-07-30,204.62,False,96.0,delayed
SHP-5036,PO,PO-3779,Southern Route Transport,FTL,WH-EAST,"Cleveland, OH",2025-07-15,2025-07-24,2025-07-25,123.46,False,465.7,delivered
SHP-5037,SO,SO-6000,Pacific Coast Carriers,ground,WH-WEST,"Cleveland, OH",2025-08-01,2025-08-08,2025-08-08,262.58,False,187.4,delivered
SHP-5038,SO,SO-6360,Midwest Express Shipping,ground,WH-WEST,"Reno, NV",2025-08-12,2025-08-16,2025-08-16,203.57,False,282.8,delivered
SHP-5039,SO,SO-2629,Midwest Express Shipping,ground,WH-EAST,"Cleveland, OH",2025-07-16,2025-07-21,2025-07-21,354.5,False,346.0,delivered
SHP-5040,PO,PO-3425,Pacific Coast Carriers,ground,WH-CENTRAL,"Reno, NV",2025-08-08,2025-08-15,2025-08-15,139.38,False,285.9,delivered
SHP-5041,SO,SO-5910,Midwest Express Shipping,ground,WH-WEST,"Cleveland, OH",2025-07-23,2025-07-29,2025-08-01,132.98,False,197.8,delayed
SHP-5042,SO,SO-3675,FastTrack Logistics,air,WH-WEST,"Houston, TX",2025-07-17,2025-07-18,2025-07-18,898.08,True,294.5,delivered
SHP-5043,SO,SO-3589,FastTrack Logistics,LTL,WH-WEST,"Detroit, MI",2025-07-16,2025-07-25,2025-07-27,247.04,False,476.1,delayed
SHP-5044,SO,SO-6659,Midwest Express Shipping,FTL,WH-EAST,"Reno, NV",2025-07-18,2025-07-21,2025-07-21,328.34,False,107.3,delivered
SHP-5045,SO,SO-4933,FastTrack Logistics,air,WH-EAST,"Detroit, MI",2025-08-08,2025-08-10,2025-08-10,903.57,True,249.6,delivered
SHP-5046,PO,PO-1601,Continental Freight,ground,WH-EAST,"Indianapolis, IN",2025-08-08,2025-08-11,2025-08-11,307.17,False,113.4,delivered
SHP-5047,SO,SO-5060,Midwest Express Shipping,LTL,WH-CENTRAL,"Hartford, CT",2025-08-08,2025-08-13,2025-08-14,162.48,False,266.3,delivered
SHP-5048,SO,SO-3071,Atlas Global Freight,LTL,WH-WEST,"Houston, TX",2025-07-28,2025-08-02,2025-08-02,209.21,False,152.6,delivered
SHP-5049,SO,SO-2316,Continental Freight,LTL,WH-CENTRAL,"Boston, MA",2025-07-30,2025-08-08,2025-08-08,372.78,False,134.7,delivered
SHP-5050,SO,SO-4051,Pacific Coast Carriers,ground,WH-CENTRAL,"Detroit, MI",2025-08-08,2025-08-14,2025-08-14,147.89,False,97.3,delivered
SHP-5051,SO,SO-6953,FastTrack Logistics,FTL,WH-WEST,"Portland, OR",2025-07-25,2025-08-01,2025-08-01,178.84,False,40.6,delivered
SHP-5052,SO,SO-4840,Continental Freight,ground,WH-WEST,"Detroit, MI",2025-07-18,2025-07-22,2025-07-21,181.45,False,31.9,delivered
SHP-5053,PO,PO-3097,Continental Freight,ground,WH-EAST,"Long Beach, CA",2025-07-16,2025-07-26,2025-07-26,152.53,False,423.3,delivered
SHP-5054,SO,SO-5132,Midwest Express Shipping,FTL,WH-SOUTH,"Charlotte, NC",2025-08-01,2025-08-11,2025-08-11,170.94,False,143.9,delivered
SHP-5055,PO,PO-2668,Pacific Coast Carriers,LTL,WH-SOUTH,"Long Beach, CA",2025-07-30,2025-08-09,2025-08-09,158.6,False,49.7,delivered
SHP-5056,SO,SO-5162,FastTrack Logistics,air,WH-EAST,"Long Beach, CA",2025-08-01,2025-08-02,2025-08-02,1020.99,True,372.3,delivered
SHP-5057,SO,SO-6313,Atlas Global Freight,ground,WH-SOUTH,"Omaha, NE",2025-07-15,2025-07-20,2025-07-20,332.82,False,278.3,delivered
SHP-5058,SO,SO-6525,Midwest Express Shipping,ground,WH-CENTRAL,"Detroit, MI",2025-07-25,2025-08-04,2025-08-04,218.45,False,63.4,delivered
SHP-5059,SO,SO-5336,Midwest Express Shipping,LTL,WH-SOUTH,"Long Beach, CA",2025-08-04,2025-08-13,2025-08-13,277.59,False,273.1,delivered
SHP-5060,PO,PO-4132,FastTrack Logistics,ground,WH-WEST,"Houston, TX",2025-08-04,2025-08-08,2025-08-07,219.95,False,382.6,delivered
SHP-5061,PO,PO-3570,Continental Freight,LTL,WH-EAST,"Atlanta, GA",2025-07-23,2025-07-28,2025-07-28,345.82,False,11.1,delivered
SHP-5062,PO,PO-3206,Pacific Coast Carriers,LTL,WH-EAST,"Charlotte, NC",2025-07-30,2025-08-07,2025-08-08,285.64,False,305.7,delivered
SHP-5063,SO,SO-4104,Pacific Coast Carriers,LTL,WH-EAST,"Indianapolis, IN",2025-08-05,2025-08-13,2025-08-16,251.34,False,440.6,delayed
SHP-5064,SO,SO-3369,Continental Freight,LTL,WH-WEST,"Boston, MA",2025-07-18,2025-07-26,2025-07-26,209.63,False,71.0,delivered
SHP-5065,PO,PO-3183,Atlas Global Freight,FTL,WH-WEST,"Portland, OR",2025-07-25,2025-08-02,2025-08-02,203.02,False,370.2,delivered
SHP-5066,SO,SO-5966,Southern Route Transport,FTL,WH-SOUTH,"Atlanta, GA",2025-07-17,2025-07-25,2025-07-25,228.73,False,444.0,delivered
SHP-5067,SO,SO-3073,FastTrack Logistics,ground,WH-CENTRAL,"Portland, OR",2025-07-28,2025-08-03,2025-08-05,342.5,False,199.9,delayed
SHP-5068,SO,SO-5045,Midwest Express Shipping,FTL,WH-EAST,"Atlanta, GA",2025-07-23,2025-08-02,2025-08-01,150.94,False,68.5,delivered
SHP-5069,SO,SO-7216,Midwest Express Shipping,ground,WH-EAST,"Cleveland, OH",2025-07-18,2025-07-28,2025-07-30,154.45,False,429.6,delayed
SHP-5070,SO,SO-6017,Atlas Global Freight,LTL,WH-SOUTH,"Atlanta, GA",2025-07-29,2025-08-04,2025-08-04,183.51,False,393.9,delivered
SHP-5071,SO,SO-5030,Midwest Express Shipping,ground,WH-WEST,"Boston, MA",2025-08-11,2025-08-20,2025-08-20,185.43,False,333.0,delivered
SHP-5072,PO,PO-2475,FastTrack Logistics,ground,WH-EAST,"Boston, MA",2025-07-23,2025-07-28,2025-07-28,235.01,False,214.2,delivered
SHP-5073,PO,PO-3854,FastTrack Logistics,air,WH-CENTRAL,"Long Beach, CA",2025-08-07,2025-08-09,2025-08-09,794.17,True,303.5,delivered
SHP-5074,SO,SO-6361,Atlas Global Freight,ground,WH-CENTRAL,"Indianapolis, IN",2025-08-12,2025-08-15,2025-08-15,295.16,False,488.6,delivered
SHP-5075,SO,SO-6157,Continental Freight,ground,WH-WEST,"Indianapolis, IN",2025-07-30,2025-08-09,2025-08-09,331.79,False,130.5,delivered
SHP-5076,PO,PO-2364,Pacific Coast Carriers,LTL,WH-EAST,"Cleveland, OH",2025-07-30,2025-08-04,2025-08-04,366.04,False,386.1,delivered
SHP-5077,SO,SO-2922,Continental Freight,ground,WH-EAST,"Detroit, MI",2025-07-30,2025-08-03,2025-08-04,139.56,False,108.6,delivered
SHP-5078,SO,SO-5745,Midwest Express Shipping,ground,WH-WEST,"Hartford, CT",2025-07-25,2025-08-02,2025-08-04,174.8,False,59.2,delayed
SHP-5079,SO,SO-7072,Atlas Global Freight,ground,WH-EAST,"Omaha, NE",2025-08-08,2025-08-17,2025-08-17,261.29,False,378.4,delivered
SHP-5080,SO,SO-3700,Southern Route Transport,ground,WH-EAST,"Reno, NV",2025-07-30,2025-08-08,2025-08-08,186.86,False,145.1,delivered
SHP-5081,SO,SO-4388,FastTrack Logistics,FTL,WH-WEST,"Hartford, CT",2025-07-15,2025-07-19,2025-07-19,274.92,False,352.9,delivered
SHP-5082,SO,SO-3184,Southern Route Transport,ground,WH-WEST,"Indianapolis, IN",2025-07-18,2025-07-23,2025-07-23,207.44,False,402.3,delivered
SHP-5083,PO,PO-1545,Southern Route Transport,ground,WH-EAST,"Atlanta, GA",2025-08-01,2025-08-11,2025-08-11,150.89,False,216.4,delivered
SHP-5084,PO,PO-4166,Continental Freight,ground,WH-WEST,"Portland, OR",2025-07-22,2025-07-29,2025-07-29,164.39,False,300.3,delivered
SHP-5085,PO,PO-2394,Continental Freight,FTL,WH-SOUTH,"Cleveland, OH",2025-07-22,2025-07-26,2025-07-26,366.62,False,235.8,delivered
SHP-5086,SO,SO-3766,Pacific Coast Carriers,FTL,WH-CENTRAL,"Cleveland, OH",2025-08-12,2025-08-19,2025-08-19,197.46,False,17.5,delivered
SHP-5087,SO,SO-2111,Midwest Express Shipping,ground,WH-EAST,"Hartford, CT",2025-07-17,2025-07-22,2025-07-22,198.78,False,335.3,delivered
SHP-5088,PO,PO-1188,Pacific Coast Carriers,ground,WH-CENTRAL,"Charlotte, NC",2025-07-22,2025-07-29,2025-07-29,366.71,False,92.2,delivered
SHP-5089,SO,SO-7318,Pacific Coast Carriers,ground,WH-EAST,"Houston, TX",2025-08-08,2025-08-18,2025-08-20,205.18,False,138.1,delayed
SHP-5090,SO,SO-7309,Southern Route Transport,ground,WH-WEST,"Houston, TX",2025-07-30,2025-08-09,2025-08-12,373.39,False,475.1,delayed
SHP-5091,PO,PO-3550,Continental Freight,ground,WH-EAST,"Omaha, NE",2025-08-12,2025-08-16,2025-08-18,191.96,False,43.6,delayed
SHP-5092,SO,SO-4958,Atlas Global Freight,ground,WH-SOUTH,"Detroit, MI",2025-08-04,2025-08-13,2025-08-13,228.33,False,346.4,delivered
SHP-5093,SO,SO-3067,Midwest Express Shipping,LTL,WH-SOUTH,"Reno, NV",2025-07-31,2025-08-05,2025-08-05,188.71,False,395.5,delivered
SHP-5094,SO,SO-7016,Continental Freight,ground,WH-EAST,"Hartford, CT",2025-07-16,2025-07-26,2025-07-26,348.04,False,244.9,delivered
SHP-5095,PO,PO-2497,FastTrack Logistics,air,WH-SOUTH,"Atlanta, GA",2025-07-31,2025-08-02,2025-08-02,770.93,True,111.4,delivered
SHP-5096,SO,SO-2550,Midwest Express Shipping,LTL,WH-EAST,"Omaha, NE",2025-08-07,2025-08-12,2025-08-12,315.3,False,73.4,delivered
SHP-5097,PO,PO-2293,Atlas Global Freight,FTL,WH-SOUTH,"Portland, OR",2025-08-05,2025-08-13,2025-08-13,207.54,False,488.5,delivered
SHP-5098,SO,SO-3065,Continental Freight,LTL,WH-CENTRAL,"Cleveland, OH",2025-08-12,2025-08-17,2025-08-17,327.99,False,61.3,delivered
SHP-5099,SO,SO-6362,Southern Route Transport,ground,WH-CENTRAL,"Long Beach, CA",2025-08-07,2025-08-12,2025-08-12,336.72,False,97.9,delivered
SHP-5100,PO,PO-3027,Atlas Global Freight,ground,WH-CENTRAL,"Omaha, NE",2025-07-17,2025-07-23,2025-07-23,371.47,False,133.4,delivered
SHP-5101,SO,SO-2143,Midwest Express Shipping,LTL,WH-WEST,"Charlotte, NC",2025-07-23,2025-07-27,2025-07-27,120.5,False,184.8,delivered
SHP-5102,SO,SO-2472,Midwest Express Shipping,ground,WH-EAST,"Charlotte, NC",2025-07-18,2025-07-21,2025-07-21,237.31,False,408.9,delivered
SHP-5103,SO,SO-6332,Pacific Coast Carriers,ground,WH-CENTRAL,"Omaha, NE",2025-07-21,2025-07-26,2025-07-26,315.68,False,462.1,delivered
SHP-5104,PO,PO-1264,Southern Route Transport,ground,WH-SOUTH,"Portland, OR",2025-07-28,2025-08-04,2025-08-04,354.85,False,229.2,delivered
SHP-5105,PO,PO-3776,FastTrack Logistics,air,WH-CENTRAL,"Reno, NV",2025-07-23,2025-07-25,2025-07-25,544.0,True,444.8,delivered
SHP-5106,SO,SO-6471,FastTrack Logistics,ground,WH-SOUTH,"Boston, MA",2025-08-07,2025-08-14,2025-08-14,348.45,False,464.6,delivered
SHP-5107,PO,PO-2310,FastTrack Logistics,ground,WH-CENTRAL,"Atlanta, GA",2025-07-21,2025-07-28,2025-07-28,244.21,False,308.1,delivered
SHP-5108,SO,SO-3977,Midwest Express Shipping,ground,WH-CENTRAL,"Detroit, MI",2025-07-24,2025-07-27,2025-07-29,219.94,False,243.1,delayed
SHP-5109,PO,PO-1907,Southern Route Transport,ground,WH-WEST,"Cleveland, OH",2025-07-29,2025-08-06,2025-08-06,339.06,False,288.0,delivered
SHP-5110,PO,PO-1359,Midwest Express Shipping,ground,WH-EAST,"Atlanta, GA",2025-07-21,2025-07-28,2025-07-28,315.97,False,76.7,delivered
SHP-5111,SO,SO-4689,Continental Freight,FTL,WH-SOUTH,"Hartford, CT",2025-08-12,2025-08-15,2025-08-15,273.74,False,308.4,delivered
SHP-5112,SO,SO-2821,Midwest Express Shipping,ground,WH-EAST,"Reno, NV",2025-07-25,2025-07-31,2025-07-30,258.64,False,240.0,delivered
SHP-5113,SO,SO-3965,Midwest Express Shipping,FTL,WH-CENTRAL,"Hartford, CT",2025-07-23,2025-08-02,2025-08-02,200.55,False,442.4,delivered
SHP-5114,SO,SO-2516,Southern Route Transport,ground,WH-EAST,"Charlotte, NC",2025-08-13,2025-08-23,2025-08-23,219.72,False,146.1,delivered
SHP-5115,PO,PO-2656,Continental Freight,ground,WH-SOUTH,"Portland, OR",2025-07-31,2025-08-10,2025-08-11,249.56,False,53.4,delivered
SHP-5116,SO,SO-4820,Midwest Express Shipping,ground,WH-SOUTH,"Cleveland, OH",2025-07-17,2025-07-26,2025-07-26,261.52,False,395.6,delivered
SHP-5117,SO,SO-2495,FastTrack Logistics,air,WH-SOUTH,"Hartford, CT",2025-08-04,2025-08-06,2025-08-06,790.78,True,441.1,delivered
SHP-5118,PO,PO-3722,Continental Freight,ground,WH-CENTRAL,"Reno, NV",2025-07-21,2025-07-24,2025-07-24,166.21,False,426.3,delivered
SHP-5119,PO,PO-3715,Southern Route Transport,ground,WH-CENTRAL,"Charlotte, NC",2025-07-30,2025-08-05,2025-08-05,144.87,False,369.7,delivered
SHP-5120,PO,PO-1189,Southern Route Transport,ground,WH-CENTRAL,"Indianapolis, IN",2025-08-06,2025-08-10,2025-08-10,304.66,False,417.5,delivered
SHP-5121,PO,PO-1068,FastTrack Logistics,ground,WH-EAST,"Omaha, NE",2025-08-11,2025-08-14,2025-08-14,309.69,False,44.5,delivered
SHP-5122,SO,SO-6601,Atlas Global Freight,ground,WH-EAST,"Charlotte, NC",2025-08-07,2025-08-11,2025-08-11,152.49,False,429.5,delivered
SHP-5123,SO,SO-6449,FastTrack Logistics,ground,WH-WEST,"Atlanta, GA",2025-08-06,2025-08-12,2025-08-12,301.27,False,148.6,delivered
SHP-5124,PO,PO-2333,Pacific Coast Carriers,LTL,WH-EAST,"Atlanta, GA",2025-07-17,2025-07-22,2025-07-22,234.33,False,441.6,delivered
SHP-5125,PO,PO-2623,Continental Freight,ground,WH-WEST,"Long Beach, CA",2025-08-11,2025-08-17,2025-08-17,157.41,False,198.5,delivered
SHP-5126,SO,SO-2616,Continental Freight,ground,WH-WEST,"Houston, TX",2025-08-01,2025-08-11,2025-08-13,276.58,False,141.5,delayed
SHP-5127,PO,PO-1438,Midwest Express Shipping,ground,WH-CENTRAL,"Hartford, CT",2025-07-16,2025-07-24,2025-07-24,207.83,False,264.0,delivered
SHP-5128,SO,SO-2543,Atlas Global Freight,FTL,WH-SOUTH,"Houston, TX",2025-07-17,2025-07-27,2025-07-30,351.32,False,186.1,delayed
SHP-5129,SO,SO-6678,Atlas Global Freight,LTL,WH-EAST,"Cleveland, OH",2025-08-04,2025-08-07,2025-08-07,236.67,False,233.6,delivered
SHP-5130,SO,SO-3567,Southern Route Transport,FTL,WH-WEST,"Boston, MA",2025-07-31,2025-08-08,2025-08-08,332.35,False,418.8,delivered
SHP-5131,PO,PO-3562,FastTrack Logistics,air,WH-WEST,"Detroit, MI",2025-07-23,2025-07-26,2025-07-26,447.32,True,402.2,delivered
SHP-5132,SO,SO-2096,Southern Route Transport,FTL,WH-CENTRAL,"Reno, NV",2025-08-04,2025-08-13,2025-08-13,253.78,False,56.6,delivered
SHP-5133,SO,SO-3314,Midwest Express Shipping,FTL,WH-EAST,"Omaha, NE",2025-08-11,2025-08-15,2025-08-15,334.73,False,28.1,delivered
SHP-5134,SO,SO-6346,Continental Freight,ground,WH-EAST,"Omaha, NE",2025-08-07,2025-08-17,2025-08-17,213.93,False,68.8,delivered
SHP-5135,SO,SO-2919,Atlas Global Freight,ground,WH-CENTRAL,"Indianapolis, IN",2025-08-07,2025-08-10,2025-08-10,364.9,False,114.1,delivered
SHP-5136,PO,PO-2705,Southern Route Transport,ground,WH-WEST,"Hartford, CT",2025-07-18,2025-07-24,2025-07-26,176.94,False,373.8,delayed
SHP-5137,PO,PO-3159,Midwest Express Shipping,LTL,WH-EAST,"Atlanta, GA",2025-07-21,2025-07-25,2025-07-25,200.5,False,132.4,delivered
SHP-5138,PO,PO-2903,Southern Route Transport,ground,WH-WEST,"Cleveland, OH",2025-07-15,2025-07-21,2025-07-21,373.99,False,87.2,delivered
SHP-5139,SO,SO-4247,Southern Route Transport,ground,WH-CENTRAL,"Reno, NV",2025-07-24,2025-07-27,2025-07-27,207.9,False,459.3,delivered
SHP-5140,SO,SO-4733,Midwest Express Shipping,ground,WH-SOUTH,"Houston, TX",2025-07-21,2025-07-28,2025-07-29,217.91,False,274.8,delivered
SHP-5141,PO,PO-1490,Midwest Express Shipping,ground,WH-WEST,"Reno, NV",2025-07-15,2025-07-25,2025-07-25,339.29,False,355.9,delivered
SHP-5142,SO,SO-5400,Pacific Coast Carriers,ground,WH-SOUTH,"Houston, TX",2025-07-28,2025-08-02,2025-08-02,315.38,False,489.3,delivered
SHP-5143,SO,SO-6786,FastTrack Logistics,air,WH-EAST,"Indianapolis, IN",2025-07-24,2025-07-27,2025-07-27,520.18,True,205.1,delivered
SHP-5144,PO,PO-2093,Midwest Express Shipping,FTL,WH-SOUTH,"Portland, OR",2025-08-07,2025-08-13,2025-08-15,206.4,False,456.9,delayed
SHP-5145,SO,SO-2095,Continental Freight,LTL,WH-WEST,"Charlotte, NC",2025-07-17,2025-07-20,2025-07-20,282.16,False,29.4,delivered
SHP-5146,SO,SO-2302,Southern Route Transport,LTL,WH-CENTRAL,"Charlotte, NC",2025-08-07,2025-08-11,2025-08-13,269.14,False,355.4,delayed
SHP-5147,SO,SO-2568,Atlas Global Freight,FTL,WH-WEST,"Reno, NV",2025-07-22,2025-07-31,2025-07-31,198.26,False,203.1,delivered
SHP-5148,SO,SO-3589,Midwest Express Shipping,FTL,WH-CENTRAL,"Cleveland, OH",2025-08-01,2025-08-05,2025-08-05,155.8,False,329.6,delivered
SHP-5149,SO,SO-6592,FastTrack Logistics,LTL,WH-SOUTH,"Detroit, MI",2025-07-15,2025-07-18,2025-07-17,249.92,False,410.1,delivered
SHP-5150,PO,PO-2631,Midwest Express Shipping,FTL,WH-SOUTH,"Atlanta, GA",2025-08-01,2025-08-08,2025-08-08,190.39,False,442.1,delivered
SHP-5151,SO,SO-5128,Continental Freight,ground,WH-WEST,"Cleveland, OH",2025-07-22,2025-07-29,2025-07-29,280.12,False,280.6,delivered
SHP-5152,SO,SO-3024,Midwest Express Shipping,FTL,WH-EAST,"Charlotte, NC",2025-07-24,2025-07-29,2025-07-28,272.6,False,74.7,delivered
SHP-5153,PO,PO-4033,Southern Route Transport,ground,WH-EAST,"Boston, MA",2025-07-17,2025-07-20,2025-07-20,182.87,False,309.6,delivered
SHP-5154,SO,SO-6100,FastTrack Logistics,air,WH-WEST,"Hartford, CT",2025-07-22,2025-07-25,2025-07-25,809.13,True,462.5,delivered
SHP-5155,PO,PO-4013,Pacific Coast Carriers,FTL,WH-WEST,"Boston, MA",2025-08-08,2025-08-17,2025-08-17,228.14,False,15.2,delivered
SHP-5156,PO,PO-3813,Atlas Global Freight,ground,WH-EAST,"Charlotte, NC",2025-08-11,2025-08-20,2025-08-20,210.91,False,448.6,delivered
SHP-5157,SO,SO-5100,Midwest Express Shipping,ground,WH-SOUTH,"Houston, TX",2025-08-01,2025-08-11,2025-08-11,265.58,False,325.0,delivered
SHP-5158,PO,PO-1746,Continental Freight,ground,WH-EAST,"Reno, NV",2025-07-28,2025-08-01,2025-08-01,124.1,False,185.8,delivered
SHP-5159,SO,SO-5568,Southern Route Transport,ground,WH-WEST,"Reno, NV",2025-08-04,2025-08-10,2025-08-10,285.66,False,371.1,delivered
SHP-5160,PO,PO-1807,Southern Route Transport,ground,WH-WEST,"Reno, NV",2025-07-21,2025-07-25,2025-07-25,273.01,False,171.8,delivered
SHP-5161,SO,SO-2408,Continental Freight,LTL,WH-SOUTH,"Reno, NV",2025-08-01,2025-08-07,2025-08-06,125.11,False,156.3,delivered
SHP-5162,SO,SO-3423,Atlas Global Freight,LTL,WH-EAST,"Detroit, MI",2025-08-04,2025-08-12,2025-08-13,267.02,False,152.5,delivered
SHP-5163,PO,PO-2423,Continental Freight,FTL,WH-WEST,"Cleveland, OH",2025-07-22,2025-07-31,2025-07-31,300.47,False,98.6,delivered
SHP-5164,SO,SO-2058,FastTrack Logistics,air,WH-WEST,"Indianapolis, IN",2025-08-01,2025-08-04,2025-08-04,438.84,True,189.0,delivered
SHP-5165,PO,PO-1476,Pacific Coast Carriers,ground,WH-SOUTH,"Indianapolis, IN",2025-07-21,2025-07-25,2025-07-25,352.75,False,316.6,delivered
SHP-5166,PO,PO-3359,Continental Freight,LTL,WH-WEST,"Portland, OR",2025-07-23,2025-07-27,2025-07-27,143.27,False,187.8,delivered
SHP-5167,SO,SO-2176,FastTrack Logistics,ground,WH-CENTRAL,"Indianapolis, IN",2025-08-11,2025-08-16,2025-08-18,367.46,False,378.3,delayed
SHP-5168,SO,SO-7190,Pacific Coast Carriers,FTL,WH-SOUTH,"Portland, OR",2025-07-24,2025-08-01,2025-08-03,351.77,False,491.3,delayed
SHP-5169,SO,SO-2736,Southern Route Transport,ground,WH-WEST,"Atlanta, GA",2025-07-25,2025-07-31,2025-07-31,338.46,False,47.7,delivered
SHP-5170,PO,PO-1203,Atlas Global Freight,LTL,WH-SOUTH,"Reno, NV",2025-07-21,2025-07-26,2025-07-27,288.52,False,163.2,delivered
