invoice_id,shipment_id,carrier_name,invoice_date,base_rate,fuel_surcharge,accessorial_charges,total_invoiced,contracted_rate,variance_amount,dispute_flag
INV-8143,SHP-5143,Midwest Express Shipping,2025-07-18,329.94,20.11,19.29,369.34,348.69,20.65,False
INV-8144,SHP-5144,Atlas Global Freight,2025-08-08,271.73,18.15,0,289.88,274.31,15.57,False
INV-8145,SHP-5145,Atlas Global Freight,2025-08-05,177.19,10.92,0,188.11,187.83,0.28,False
INV-8146,SHP-5146,Pacific Coast Carriers,2025-07-21,146.55,11.44,0,157.99,150.82,7.17,False
INV-8147,SHP-5147,Midwest Express Shipping,2025-08-01,227.0,16.8,0,243.8,240.54,3.26,False
INV-8148,SHP-5148,Southern Route Transport,2025-08-04,321.8,25.69,0,347.49,328.09,19.4,False
INV-8149,SHP-5149,Pacific Coast Carriers,2025-08-04,344.06,28.93,0,372.99,363.46,9.53,False
INV-8150,SHP-5150,FastTrack Logistics,2025-08-13,299.72,25.68,18.54,343.94,300.82,43.12,False
INV-8151,SHP-5151,FastTrack Logistics,2025-07-18,217.64,16.93,0,234.57,233.28,1.29,False
INV-8152,SHP-5152,Atlas Global Freight,2025-07-25,293.28,22.62,0,315.9,305.82,10.08,False
INV-8153,SHP-5153,FastTrack Logistics,2025-08-07,380.26,37.33,0,417.59,912.62,-495.03,False
INV-8154,SHP-5154,Southern Route Transport,2025-07-17,165.44,15.96,0,181.4,178.11,3.29,False
INV-8155,SHP-5155,Pacific Coast Carriers,2025-08-01,139.97,12.13,0,152.1,143.98,8.12,False
INV-8156,SHP-5156,Southern Route Transport,2025-07-28,288.92,19.37,0,308.29,311.23,-2.94,False
INV-8157,SHP-5157,Pacific Coast Carriers,2025-08-01,123.43,7.79,0,131.22,124.22,7.0,False
INV-8158,SHP-5158,Pacific Coast Carriers,2025-07-15,271.87,25.63,17.16,314.66,290.16,24.5,False
INV-8159,SHP-5159,Continental Freight,2025-07-22,166.9,13.35,20.64,200.89,172.36,28.53,False
INV-8160,SHP-5160,FastTrack Logistics,2025-08-08,297.88,21.5,0,319.38,315.2,4.18,False
INV-8161,SHP-5161,FastTrack Logistics,2025-08-13,203.15,15.77,38.96,257.88,212.04,45.84,False
INV-8162,SHP-5162,Midwest Express Shipping,2025-07-23,193.05,15.93,0,208.98,196.24,12.74,False
INV-8163,SHP-5163,Pacific Coast Carriers,2025-08-07,267.92,25.6,41.08,334.6,285.75,48.85,False
INV-8164,SHP-5164,Atlas Global Freight,2025-07-25,225.0,17.78,0,242.78,242.15,0.63,False
INV-8165,SHP-5165,FastTrack Logistics,2025-07-16,147.55,9.23,0,156.78,158.02,-1.24,False
INV-8166,SHP-5166,Atlas Global Freight,2025-08-13,315.19,30.07,27.47,372.73,327.54,45.19,False
INV-8167,SHP-5167,Pacific Coast Carriers,2025-07-25,223.44,15.78,4.07,243.29,225.77,17.52,False
INV-8168,SHP-5168,Pacific Coast Carriers,2025-07-16,138.43,13.59,33.98,186.0,145.69,40.31,False
INV-8169,SHP-5169,Pacific Coast Carriers,2025-08-06,155.05,9.82,0,164.87,159.69,5.18,False
INV-8170,SHP-5170,Continental Freight,2025-07-15,134.85,10.79,0,145.64,135.24,10.4,False
INV-8171,SHP-5171,Midwest Express Shipping,2025-07-17,209.11,12.71,0,221.82,223.4,-1.58,False
INV-8172,SHP-5172,Pacific Coast Carriers,2025-08-11,231.54,16.57,0,248.11,237.07,11.04,False
INV-8173,SHP-5173,Midwest Express Shipping,2025-07-18,216.19,19.22,39.55,274.96,219.31,55.65,False
INV-8174,SHP-5174,Southern Route Transport,2025-08-11,276.01,25.48,0,301.49,287.09,14.4,False
INV-8175,SHP-5175,Continental Freight,2025-07-15,214.95,17.2,0,232.15,223.59,8.56,False
INV-8176,SHP-5176,FastTrack Logistics,2025-08-01,278.02,25.49,0,303.51,283.67,19.84,False
INV-8177,SHP-5177,Continental Freight,2025-07-25,134.49,10.76,16.1,161.35,144.92,16.43,False
INV-8178,SHP-5178,Atlas Global Freight,2025-08-06,137.13,8.45,0,145.58,146.06,-0.48,False
INV-8179,SHP-5179,Southern Route Transport,2025-07-15,160.35,14.6,16.63,191.58,166.31,25.27,False
INV-8180,SHP-5180,Pacific Coast Carriers,2025-08-04,242.16,19.25,0,261.41,249.25,12.16,False
INV-8181,SHP-5181,Southern Route Transport,2025-07-15,149.46,12.54,0,162.0,149.47,12.53,False
INV-8182,SHP-5182,Continental Freight,2025-07-28,233.97,18.72,20.89,273.58,246.81,26.77,False
INV-8183,SHP-5183,Atlas Global Freight,2025-07-30,255.93,24.45,0,280.38,257.11,23.27,False
INV-8184,SHP-5184,Atlas Global Freight,2025-07-28,202.51,16.41,0,218.92,217.08,1.84,False
INV-8185,SHP-5185,Pacific Coast Carriers,2025-07-22,283.7,20.27,41.76,345.73,299.43,46.3,False
INV-8186,SHP-5186,FastTrack Logistics,2025-08-13,276.33,21.54,0,297.87,290.16,7.71,False
INV-8187,SHP-5187,FastTrack Logistics,2025-07-16,325.22,22.12,0,347.34,332.22,15.12,False
INV-8188,SHP-5188,Continental Freight,2025-07-25,335.97,26.88,0,362.85,340.55,22.3,False
INV-8189,SHP-5189,Continental Freight,2025-08-11,283.72,22.7,0,306.42,285.97,20.45,False
INV-8190,SHP-5190,Atlas Global Freight,2025-07-31,315.78,19.76,21.74,357.28,330.22,27.06,False
INV-8191,SHP-5191,Continental Freight,2025-07-30,221.26,17.7,0,238.96,238.33,0.63,False
INV-8192,SHP-5192,Southern Route Transport,2025-08-04,175.99,16.6,0,192.59,189.99,2.6,False
INV-8193,SHP-5193,Atlas Global Freight,2025-07-30,344.41,21.9,0,366.31,362.6,3.71,False
INV-8194,SHP-5194,Pacific Coast Carriers,2025-07-25,298.27,27.87,0,326.14,301.19,24.95,False
INV-8195,SHP-5195,Atlas Global Freight,2025-07-30,217.79,14.73,0,232.52,223.47,9.05,False
INV-8196,SHP-5196,Midwest Express Shipping,2025-07-15,254.28,23.73,14.77,292.78,271.01,21.77,False
INV-8197,SHP-5197,Midwest Express Shipping,2025-07-17,307.28,26.76,0,334.04,327.07,6.97,False
INV-8198,SHP-5198,Midwest Express Shipping,2025-08-12,313.25,26.57,0,339.82,320.76,19.06,False
INV-8199,SHP-5199,Southern Route Transport,2025-07-31,328.64,23.1,3.67,355.41,344.12,11.29,False
INV-8200,SHP-5200,FastTrack Logistics,2025-07-21,183.9,16.7,30.52,231.12,189.82,41.3,False
INV-8201,SHP-5201,Atlas Global Freight,2025-08-11,279.56,19.8,13.39,312.75,301.02,11.73,False
INV-8202,SHP-5202,Southern Route Transport,2025-07-15,154.36,13.55,36.73,204.64,158.94,45.7,False
INV-8203,SHP-5203,Midwest Express Shipping,2025-07-29,131.9,13.09,1.57,146.56,142.09,4.47,False
INV-8204,SHP-5204,Midwest Express Shipping,2025-07-21,147.05,14.54,0,161.59,148.86,12.73,False
INV-8205,SHP-5205,Pacific Coast Carriers,2025-08-13,295.24,27.65,0,322.89,317.87,5.02,False
INV-8206,SHP-5206,Atlas Global Freight,2025-07-25,176.48,15.25,0,191.73,183.84,7.89,False
INV-8207,SHP-5207,Continental Freight,2025-07-29,215.31,17.22,0,232.53,226.75,5.78,False
INV-8208,SHP-5208,Pacific Coast Carriers,2025-08-07,296.31,24.05,0,320.36,297.99,22.37,False
INV-8209,SHP-5209,Continental Freight,2025-07-24,201.91,16.15,41.46,259.52,214.28,45.24,False
INV-8210,SHP-5210,Atlas Global Freight,2025-08-04,275.47,26.16,0,301.63,294.92,6.71,False
INV-8211,SHP-5211,Southern Route Transport,2025-07-24,223.86,18.78,23.22,265.86,223.9,41.96,False
INV-8212,SHP-5212,Continental Freight,2025-07-30,301.91,24.15,0,326.06,325.92,0.14,False
INV-8213,SHP-5213,Continental Freight,2025-07-25,244.43,19.55,16.36,280.34,252.23,28.11,False
INV-8214,SHP-5214,Continental Freight,2025-07-28,149.55,11.96,0,161.51,158.28,3.23,False
INV-8215,SHP-5215,FastTrack Logistics,2025-08-08,180.08,13.78,43.15,237.01,189.36,47.65,False
INV-8216,SHP-5216,FastTrack Logistics,2025-08-04,291.77,28.39,0,320.16,312.04,8.12,False
INV-8217,SHP-5217,Atlas Global Freight,2025-07-23,348.8,21.2,0,370.0,350.97,19.03,False
INV-8218,SHP-5218,Pacific Coast Carriers,2025-07-28,232.24,18.06,0,250.3,249.23,1.07,False
INV-8219,SHP-5219,Midwest Express Shipping,2025-08-12,210.67,15.64,7.96,234.27,226.48,7.79,False
INV-8220,SHP-5220,Atlas Global Freight,2025-08-06,253.32,19.89,0,273.21,265.13,8.08,False
INV-8221,SHP-5221,Atlas Global Freight,2025-07-22,135.3,12.78,0,148.08,137.75,10.33,False
INV-8222,SHP-5222,Midwest Express Shipping,2025-08-06,349.83,21.24,0,371.07,354.86,16.21,False
INV-8223,SHP-5223,Atlas Global Freight,2025-08-12,124.07,8.13,0,132.2,131.94,0.26,False
INV-8224,SHP-5224,Southern Route Transport,2025-07-21,213.99,16.26,0,230.25,229.43,0.82,False
INV-8225,SHP-5225,Midwest Express Shipping,2025-08-12,316.39,19.15,0,335.54,334.6,0.94,False
INV-8226,SHP-5226,Southern Route Transport,2025-07-22,283.42,25.43,0,308.85,303.52,5.33,False
INV-8227,SHP-5227,Pacific Coast Carriers,2025-08-08,244.83,17.56,26.26,288.65,258.28,30.37,False
INV-8228,SHP-5228,Continental Freight,2025-08-08,180.43,14.43,0,194.86,185.28,9.58,False
INV-8229,SHP-5229,Pacific Coast Carriers,2025-08-06,266.46,16.31,0,282.77,278.1,4.67,False
INV-8230,SHP-5230,Southern Route Transport,2025-07-22,244.43,21.01,0,265.44,251.02,14.42,False
INV-8231,SHP-5231,Continental Freight,2025-07-31,249.6,19.97,0,269.57,262.52,7.05,False
INV-8232,SHP-5232,Continental Freight,2025-08-05,311.81,24.94,12.69,349.44,328.08,21.36,False
INV-8233,SHP-5233,Midwest Express Shipping,2025-07-30,318.41,20.02,0,338.43,329.18,9.25,False
INV-8234,SHP-5234,Southern Route Transport,2025-08-05,220.52,17.51,0,238.03,230.27,7.76,False
INV-8235,SHP-5235,Atlas Global Freight,2025-08-06,317.03,28.71,0,345.74,324.82,20.92,False
INV-8236,SHP-5236,FastTrack Logistics,2025-07-16,272.89,21.3,0,294.19,287.69,6.5,False
INV-8237,SHP-5237,Midwest Express Shipping,2025-07-25,141.09,13.31,24.62,179.02,147.41,31.61,False
INV-8238,SHP-5238,Pacific Coast Carriers,2025-08-12,246.14,18.69,9.49,274.32,246.85,27.47,False
INV-8239,SHP-5239,Atlas Global Freight,2025-08-13,147.76,9.23,0,156.99,158.22,-1.23,False
INV-8240,SHP-5240,Pacific Coast Carriers,2025-08-13,313.35,20.41,0,333.76,329.61,4.15,False
INV-8241,SHP-5241,Southern Route Transport,2025-07-29,131.71,12.41,0,144.12,133.25,10.87,False
INV-8242,SHP-5242,Atlas Global Freight,2025-08-04,227.41,15.97,0,243.38,231.22,12.16,False
INV-8243,SHP-5243,Continental Freight,2025-07-21,207.41,16.59,0,224.0,215.17,8.83,False
INV-8244,SHP-5244,Continental Freight,2025-07-22,333.13,26.65,0,359.78,357.8,1.98,False
INV-8245,SHP-5245,FastTrack Logistics,2025-08-04,204.74,13.08,0,217.82,205.61,12.21,False
INV-8246,SHP-5246,Midwest Express Shipping,2025-08-08,306.1,21.61,0,327.71,330.25,-2.54,False
INV-8247,SHP-5247,Pacific Coast Carriers,2025-07-24,326.7,25.91,0,352.61,328.76,23.85,False
INV-8248,SHP-5248,Southern Route Transport,2025-08-07,250.5,24.98,0,275.48,265.68,9.8,False
INV-8249,SHP-5249,FastTrack Logistics,2025-07-16,214.29,17.08,16.0,247.37,224.87,22.5,False
INV-8250,SHP-5250,Continental Freight,2025-07-21,221.45,17.72,40.97,280.14,229.68,50.46,False
INV-8251,SHP-5251,FastTrack Logistics,2025-08-13,414.18,36.39,0,450.57,994.03,-543.46,False
INV-8252,SHP-5252,Southern Route Transport,2025-08-01,170.6,11.39,0,181.99,170.61,11.38,False
INV-8253,SHP-5253,FastTrack Logistics,2025-08-12,180.88,17.72,0,198.6,181.25,17.35,False
INV-8254,SHP-5254,Midwest Express Shipping,2025-08-11,228.95,18.78,21.38,269.11,243.6,25.51,False
