so_id,so_line_id,customer_id,product_id,warehouse_id,order_date,requested_delivery_date,promised_delivery_date,actual_ship_date,actual_delivery_date,qty_ordered,qty_shipped,qty_backordered,unit_price,revenue,status
SO-2014,1,CUST-0155,IF-7340,WH-CENTRAL,2025-07-25,2025-07-30,2025-08-01,2025-08-01,2025-08-01,25,25,0,64.0,1600.0,delivered
SO-2015,1,CUST-0183,SE-1675,WH-WEST,2025-08-13,2025-08-19,2025-08-19,2025-08-19,2025-08-19,10,10,0,48.0,480.0,delivered
SO-2016,1,CUST-0350,PB-5540,WH-WEST,2025-07-24,2025-07-29,2025-07-30,2025-07-30,2025-07-29,10,10,0,5.7,57.0,delivered
SO-2017,1,CUST-0038,EC-1455,WH-SOUTH,2025-07-29,2025-08-03,2025-08-03,2025-08-02,2025-08-02,5,5,0,26.0,130.0,delivered
SO-2018,1,CUST-0230,HF-1560,WH-CENTRAL,2025-07-21,2025-08-01,2025-08-01,2025-07-31,2025-08-02,10,10,0,58.0,580.0,delivered
SO-2019,1,CUST-0260,HF-2215,WH-WEST,2025-08-13,2025-08-17,2025-08-17,2025-08-15,2025-08-17,25,25,0,41.0,1025.0,delivered
SO-2020,1,CUST-0041,SE-3280,WH-SOUTH,2025-07-16,2025-07-25,2025-07-25,2025-07-23,2025-07-25,25,25,0,58.0,1450.0,delivered
SO-2021,1,CUST-0183,SE-1010,WH-CENTRAL,2025-07-29,2025-08-12,2025-08-12,2025-08-12,2025-08-13,10,10,0,54.0,540.0,delivered
SO-2022,1,CUST-0025,HF-1675,WH-CENTRAL,2025-07-22,2025-08-01,2025-08-03,2025-07-31,2025-08-04,5,5,0,48.0,240.0,delivered
SO-2023,1,CUST-0630,IF-9460,WH-EAST,2025-08-01,2025-08-06,2025-08-08,2025-08-08,2025-08-08,5,5,0,12.0,60.0,delivered
SO-2024,1,CUST-0245,PB-4125,WH-EAST,2025-07-17,2025-07-30,2025-07-30,2025-07-27,2025-07-30,50,50,0,57.0,2850.0,delivered
SO-2025,1,CUST-0102,PB-4455,WH-CENTRAL,2025-07-21,2025-07-30,2025-07-31,2025-07-30,2025-07-31,10,10,0,24.0,240.0,delivered
SO-2026,1,CUST-0610,EC-2490,WH-WEST,2025-07-17,2025-07-31,2025-07-31,2025-07-31,2025-07-31,10,10,0,65.0,650.0,delivered
SO-2027,1,CUST-0580,EC-1102,WH-CENTRAL,2025-07-18,2025-07-27,2025-07-27,2025-07-25,2025-07-28,50,50,0,21.0,1050.0,delivered
SO-2028,1,CUST-0335,IF-7560,WH-CENTRAL,2025-07-22,2025-07-26,2025-07-26,2025-07-23,2025-07-26,100,100,0,36.0,3600.0,delivered
SO-2029,1,CUST-0600,SE-1560,WH-CENTRAL,2025-07-17,2025-07-20,2025-07-20,2025-07-18,2025-07-21,10,10,0,19.0,190.0,delivered
SO-2030,1,CUST-0290,PB-4890,WH-CENTRAL,2025-08-04,2025-08-12,2025-08-12,2025-08-09,2025-08-12,50,50,0,45.0,2250.0,delivered
SO-2031,1,CUST-0455,SE-3460,WH-WEST,2025-08-07,2025-08-16,2025-08-16,2025-08-14,2025-08-16,25,25,0,48.0,1200.0,delivered
SO-2032,1,CUST-0335,HF-1340,WH-SOUTH,2025-08-04,2025-08-08,2025-08-10,2025-08-10,2025-08-10,50,50,0,14.5,725.0,delivered
SO-2033,1,CUST-0520,EC-2970,WH-SOUTH,2025-07-22,2025-08-01,2025-08-01,2025-07-30,2025-07-31,5,5,0,28.0,140.0,delivered
SO-2034,1,CUST-0171,IF-7230,WH-CENTRAL,2025-07-28,2025-08-11,2025-08-12,2025-08-09,2025-08-11,5,5,0,76.0,380.0,delivered
SO-2035,1,CUST-0560,PB-6280,WH-WEST,2025-08-13,2025-08-21,2025-08-21,2025-08-20,2025-08-22,25,25,0,24.0,600.0,delivered
SO-2036,1,CUST-0025,PB-4780,WH-WEST,2025-07-21,2025-07-28,2025-07-28,2025-07-25,2025-07-28,10,10,0,16.0,160.0,delivered
SO-2037,1,CUST-0380,EC-2885,WH-WEST,2025-08-07,2025-08-12,2025-08-12,2025-08-11,2025-08-12,10,10,0,9.0,90.0,delivered
SO-2038,1,CUST-0134,EC-1205,WH-WEST,2025-07-24,2025-07-28,2025-07-30,2025-07-27,2025-07-30,5,5,0,48.0,240.0,delivered
SO-2039,1,CUST-0440,HF-1995,WH-CENTRAL,2025-07-18,2025-07-21,2025-07-21,2025-07-19,2025-07-21,5,5,0,31.0,155.0,delivered
SO-2040,1,CUST-0147,IF-8215,WH-EAST,2025-07-23,2025-08-05,2025-08-05,2025-08-05,2025-08-05,10,10,0,19.0,190.0,delivered
SO-2041,1,CUST-0067,PB-5650,WH-EAST,2025-07-28,2025-08-01,2025-08-01,2025-07-31,2025-08-01,10,10,0,8.0,80.0,delivered
SO-2042,1,CUST-0041,EC-3004,WH-WEST,2025-07-21,2025-07-25,2025-07-25,2025-07-23,2025-07-26,25,25,0,209.0,5225.0,delivered
SO-2043,1,CUST-0147,SE-2215,WH-EAST,2025-07-24,2025-08-07,2025-08-07,2025-08-07,2025-08-07,50,50,0,11.5,575.0,delivered
SO-2044,1,CUST-0230,SE-1010,WH-CENTRAL,2025-07-17,2025-07-24,2025-07-24,2025-07-21,2025-07-23,25,25,0,54.0,1350.0,delivered
SO-2045,1,CUST-0260,EC-2050,WH-WEST,2025-08-08,2025-08-15,2025-08-16,2025-08-13,2025-08-16,50,50,0,3.5,175.0,delivered
SO-2046,1,CUST-0168,HF-1890,WH-EAST,2025-07-28,2025-08-02,2025-08-02,2025-07-30,2025-08-03,25,25,0,325.0,8125.0,delivered
SO-2047,1,CUST-0025,PB-6460,WH-EAST,2025-08-08,2025-08-21,2025-08-21,2025-08-18,2025-08-21,50,50,0,6.5,325.0,delivered
SO-2048,1,CUST-0041,EC-2490,WH-WEST,2025-07-16,2025-07-25,2025-07-25,2025-07-23,2025-07-25,10,10,0,65.0,650.0,delivered
SO-2049,1,CUST-0320,PB-4560,WH-EAST,2025-07-25,2025-08-04,2025-08-04,2025-08-03,2025-08-04,25,25,0,20.0,500.0,delivered
SO-2050,1,CUST-0410,EC-2595,WH-EAST,2025-08-12,2025-08-15,2025-08-15,2025-08-13,2025-08-14,10,10,0,16.0,160.0,delivered
SO-2051,1,CUST-0395,IF-7890,WH-SOUTH,2025-07-16,2025-07-23,2025-07-23,2025-07-22,2025-07-23,10,10,0,45.0,450.0,delivered
SO-2052,1,CUST-0056,PB-4995,WH-CENTRAL,2025-08-11,2025-08-21,2025-08-21,2025-08-19,2025-08-21,25,25,0,33.0,825.0,delivered
SO-2053,1,CUST-0410,IF-7560,WH-CENTRAL,2025-07-25,2025-08-03,2025-08-03,2025-08-03,2025-08-03,100,100,0,36.0,3600.0,delivered
SO-2054,1,CUST-0056,HF-3370,WH-SOUTH,2025-07-25,2025-08-01,2025-08-01,2025-08-01,2025-08-01,10,10,0,44.0,440.0,delivered
SO-2055,1,CUST-0155,SE-2320,WH-EAST,2025-08-11,2025-08-23,2025-08-23,2025-08-21,2025-08-23,10,10,0,142.0,1420.0,delivered
SO-2056,1,CUST-0670,PB-4125,WH-WEST,2025-08-06,2025-08-20,2025-08-20,2025-08-19,2025-08-19,25,25,0,57.0,1425.0,delivered
SO-2057,1,CUST-0012,HF-1560,WH-SOUTH,2025-07-16,2025-07-26,2025-07-26,2025-07-24,2025-07-27,10,10,0,58.0,580.0,delivered
SO-2058,1,CUST-0115,EC-1847,WH-WEST,2025-07-25,2025-07-29,2025-07-29,2025-07-28,2025-07-28,10,10,0,142.0,1420.0,delivered
SO-2059,1,CUST-0134,IF-8215,WH-EAST,2025-07-28,2025-08-02,2025-08-03,2025-08-02,2025-08-03,50,50,0,19.0,950.0,delivered
SO-2060,1,CUST-0380,HF-1125,WH-WEST,2025-08-06,2025-08-13,2025-08-14,2025-08-13,2025-08-14,10,10,0,37.0,370.0,delivered
SO-2061,1,CUST-0012,SE-1125,WH-WEST,2025-07-16,2025-07-26,2025-07-26,2025-07-25,2025-07-26,25,25,0,14.5,362.5,delivered
SO-2062,1,CUST-0200,SE-1890,WH-SOUTH,2025-08-07,2025-08-14,2025-08-14,2025-08-11,2025-08-14,5,5,0,104.0,520.0,delivered
SO-2063,1,CUST-0089,EC-2160,WH-WEST,2025-08-11,2025-08-20,2025-08-21,2025-08-21,2025-08-22,10,10,0,12.5,125.0,delivered
SO-2064,1,CUST-0720,IF-7010,WH-WEST,2025-07-24,2025-08-06,2025-08-08,2025-08-07,2025-08-08,50,50,0,54.0,2700.0,delivered
SO-2065,1,CUST-0215,EC-1102,WH-CENTRAL,2025-07-24,2025-07-29,2025-07-30,2025-07-28,2025-07-30,25,25,0,21.0,525.0,delivered
SO-2066,1,CUST-0200,HF-1125,WH-SOUTH,2025-07-15,2025-07-25,2025-07-25,2025-07-24,2025-07-25,5,5,0,37.0,185.0,delivered
SO-2067,1,CUST-0089,IF-7125,WH-CENTRAL,2025-08-11,2025-08-24,2025-08-24,2025-08-21,2025-08-24,10,10,0,47.0,470.0,delivered
SO-2068,1,CUST-0115,EC-1835,WH-CENTRAL,2025-08-05,2025-08-09,2025-08-09,2025-08-09,2025-08-09,10,10,0,11.5,115.0,delivered
SO-2069,1,CUST-0073,PB-4340,WH-WEST,2025-07-15,2025-07-22,2025-07-24,2025-07-22,2025-07-24,10,10,0,48.0,480.0,delivered
SO-2070,1,CUST-0128,IF-9090,WH-EAST,2025-07-29,2025-08-04,2025-08-05,2025-08-05,2025-08-05,10,10,0,7.0,70.0,delivered
SO-2071,1,CUST-0365,HF-2650,WH-EAST,2025-08-01,2025-08-07,2025-08-08,2025-08-05,2025-08-09,10,10,0,61.0,610.0,delivered
SO-2072,1,CUST-0147,IF-9280,WH-SOUTH,2025-08-08,2025-08-16,2025-08-16,2025-08-16,2025-08-15,10,10,0,28.0,280.0,delivered
SO-2073,1,CUST-0230,HF-1995,WH-CENTRAL,2025-08-04,2025-08-13,2025-08-14,2025-08-14,2025-08-14,10,10,0,31.0,310.0,delivered
SO-2074,1,CUST-0128,IF-7125,WH-CENTRAL,2025-08-13,2025-08-26,2025-08-28,2025-08-27,2025-08-28,10,10,0,47.0,470.0,delivered
SO-2075,1,CUST-0038,PB-4125,WH-WEST,2025-08-04,2025-08-12,2025-08-14,2025-08-12,2025-08-15,10,10,0,57.0,570.0,delivered
SO-2076,1,CUST-0395,IF-8100,WH-WEST,2025-07-17,2025-07-24,2025-07-26,2025-07-25,2025-07-26,10,10,0,16.5,165.0,delivered
SO-2077,1,CUST-0012,PB-6090,WH-CENTRAL,2025-08-04,2025-08-17,2025-08-19,2025-08-16,2025-08-20,25,25,0,97.0,2425.0,delivered
SO-2078,1,CUST-0670,HF-2760,WH-SOUTH,2025-07-31,2025-08-12,2025-08-12,2025-08-10,2025-08-12,25,25,0,164.0,4100.0,delivered
SO-2079,1,CUST-0530,HF-2215,WH-SOUTH,2025-07-15,2025-07-22,2025-07-23,2025-07-20,2025-07-24,25,25,0,41.0,1025.0,delivered
SO-2080,1,CUST-0155,SE-1455,WH-CENTRAL,2025-08-05,2025-08-11,2025-08-12,2025-08-11,2025-08-12,50,50,0,31.0,1550.0,delivered
SO-2081,1,CUST-0171,EC-2490,WH-WEST,2025-07-18,2025-07-23,2025-07-23,2025-07-21,2025-07-23,25,25,0,65.0,1625.0,delivered
SO-2082,1,CUST-0650,PB-5215,WH-WEST,2025-08-05,2025-08-13,2025-08-13,2025-08-10,2025-08-13,25,25,0,14.5,362.5,delivered
SO-2083,1,CUST-0041,PB-6370,WH-SOUTH,2025-08-01,2025-08-05,2025-08-07,2025-08-05,2025-08-07,10,10,0,8.7,87.0,delivered
SO-2084,1,CUST-0147,PB-4455,WH-WEST,2025-08-08,2025-08-22,2025-08-22,2025-08-19,2025-08-22,5,5,0,24.0,120.0,delivered
SO-2085,1,CUST-0012,SE-2430,WH-WEST,2025-07-21,2025-07-27,2025-07-28,2025-07-25,2025-07-28,50,50,0,121.0,6050.0,delivered
SO-2086,1,CUST-0410,EC-1102,WH-SOUTH,2025-08-05,2025-08-15,2025-08-15,2025-08-15,2025-08-15,25,25,0,21.0,525.0,delivered
SO-2087,1,CUST-0012,IF-8760,WH-EAST,2025-07-18,2025-07-30,2025-07-30,2025-07-29,2025-07-30,25,25,0,17.5,437.5,delivered
SO-2088,1,CUST-0590,EC-1847,WH-CENTRAL,2025-08-11,2025-08-14,2025-08-16,2025-08-13,2025-08-16,50,50,0,142.0,7100.0,delivered
SO-2089,1,CUST-0115,IF-8980,WH-CENTRAL,2025-07-31,2025-08-13,2025-08-14,2025-08-13,2025-08-14,10,10,0,9.5,95.0,delivered
SO-2090,1,CUST-0012,HF-1455,WH-SOUTH,2025-07-30,2025-08-09,2025-08-09,2025-08-07,2025-08-08,25,25,0,24.0,600.0,delivered
SO-2091,1,CUST-0230,HF-2650,WH-SOUTH,2025-07-28,2025-08-07,2025-08-09,2025-08-09,2025-08-09,25,25,0,61.0,1525.0,delivered
SO-2092,1,CUST-0215,IF-9460,WH-SOUTH,2025-07-29,2025-08-03,2025-08-05,2025-08-04,2025-08-06,10,10,0,12.0,120.0,delivered
SO-2093,1,CUST-0380,PB-4560,WH-SOUTH,2025-07-17,2025-07-28,2025-07-28,2025-07-27,2025-07-28,50,50,0,20.0,1000.0,delivered
SO-2094,1,CUST-0025,SE-1010,WH-CENTRAL,2025-07-29,2025-08-09,2025-08-10,2025-08-07,2025-08-11,10,10,0,54.0,540.0,delivered
SO-2095,1,CUST-0147,IF-7125,WH-SOUTH,2025-08-07,2025-08-17,2025-08-17,2025-08-15,2025-08-16,10,10,0,47.0,470.0,delivered
SO-2096,1,CUST-0067,PB-4230,WH-SOUTH,2025-07-30,2025-08-12,2025-08-12,2025-08-11,2025-08-12,10,10,0,121.0,1210.0,delivered
SO-2097,1,CUST-0038,SE-1125,WH-SOUTH,2025-07-24,2025-07-31,2025-07-31,2025-07-28,2025-08-01,50,50,0,14.5,725.0,delivered
SO-2098,1,CUST-0155,SE-3460,WH-EAST,2025-07-23,2025-07-30,2025-07-30,2025-07-30,2025-07-31,100,100,0,48.0,4800.0,delivered
SO-2099,1,CUST-0245,EC-2595,WH-CENTRAL,2025-07-15,2025-07-22,2025-07-22,2025-07-19,2025-07-22,5,5,0,16.0,80.0,delivered
SO-2100,1,CUST-0440,HF-1230,WH-SOUTH,2025-07-31,2025-08-09,2025-08-09,2025-08-08,2025-08-08,10,10,0,475.0,4750.0,delivered
SO-2101,1,CUST-0260,IF-8760,WH-CENTRAL,2025-08-01,2025-08-15,2025-08-15,2025-08-15,2025-08-14,25,25,0,17.5,437.5,delivered
SO-2102,1,CUST-0260,SE-2980,WH-EAST,2025-08-13,2025-08-23,2025-08-25,2025-08-22,2025-08-24,5,5,0,41.0,205.0,delivered
SO-2103,1,CUST-0200,EC-2490,WH-CENTRAL,2025-07-28,2025-08-04,2025-08-04,2025-08-04,2025-08-04,10,10,0,65.0,650.0,delivered
SO-2104,1,CUST-0440,HF-1340,WH-EAST,2025-07-15,2025-07-21,2025-07-21,2025-07-20,2025-07-20,10,10,0,14.5,145.0,delivered
SO-2105,1,CUST-0230,PB-5760,WH-EAST,2025-07-23,2025-07-29,2025-07-31,2025-07-31,2025-07-31,25,25,0,225.0,5625.0,delivered
SO-2106,1,CUST-0320,IF-8215,WH-WEST,2025-07-29,2025-08-02,2025-08-03,2025-08-03,2025-08-03,10,10,0,19.0,190.0,delivered
SO-2107,1,CUST-0440,EC-3100,WH-CENTRAL,2025-08-07,2025-08-21,2025-08-22,2025-08-22,2025-08-22,5,5,0,149.0,745.0,delivered
SO-2108,1,CUST-0089,EC-1455,WH-CENTRAL,2025-07-16,2025-07-25,2025-07-25,2025-07-25,2025-07-24,25,25,0,26.0,650.0,delivered
SO-2109,1,CUST-0102,HF-1340,WH-CENTRAL,2025-07-17,2025-07-31,2025-07-31,2025-07-29,2025-07-30,50,50,0,14.5,725.0,delivered
SO-2110,1,CUST-0171,IF-8540,WH-EAST,2025-08-07,2025-08-20,2025-08-22,2025-08-22,2025-08-22,25,25,0,26.0,650.0,delivered
SO-2111,1,CUST-0155,HF-2540,WH-SOUTH,2025-07-18,2025-07-30,2025-07-30,2025-07-29,2025-07-31,25,25,0,237.0,5925.0,delivered
SO-2112,1,CUST-0710,EC-2160,WH-WEST,2025-07-21,2025-07-31,2025-08-02,2025-07-31,2025-08-02,10,10,0,12.5,125.0,delivered
SO-2113,1,CUST-0025,EC-2885,WH-CENTRAL,2025-08-06,2025-08-10,2025-08-10,2025-08-09,2025-08-09,50,50,0,9.0,450.0,delivered
SO-2114,1,CUST-0067,HF-2540,WH-CENTRAL,2025-07-21,2025-07-26,2025-07-27,2025-07-25,2025-07-27,25,25,0,237.0,5925.0,delivered
SO-2115,1,CUST-0168,IF-9280,WH-EAST,2025-08-06,2025-08-14,2025-08-14,2025-08-12,2025-08-15,5,5,0,28.0,140.0,delivered
SO-2116,1,CUST-0183,HF-1890,WH-WEST,2025-07-22,2025-08-03,2025-08-03,2025-07-31,2025-08-03,5,5,0,325.0,1625.0,delivered
SO-2117,1,CUST-0128,SE-3370,WH-WEST,2025-07-31,2025-08-08,2025-08-08,2025-08-07,2025-08-09,25,25,0,18.0,450.0,delivered
SO-2118,1,CUST-0690,SE-1560,WH-SOUTH,2025-08-07,2025-08-14,2025-08-15,2025-08-12,2025-08-15,5,5,0,19.0,95.0,delivered
SO-2119,1,CUST-0183,IF-8980,WH-CENTRAL,2025-08-08,2025-08-17,2025-08-18,2025-08-16,2025-08-19,25,25,0,9.5,237.5,delivered
SO-2120,1,CUST-0320,PB-5760,WH-SOUTH,2025-08-06,2025-08-10,2025-08-12,2025-08-12,2025-08-12,10,10,0,225.0,2250.0,delivered
SO-2121,1,CUST-0067,SE-2980,WH-CENTRAL,2025-08-05,2025-08-13,2025-08-15,2025-08-15,2025-08-14,25,25,0,41.0,1025.0,delivered
SO-2122,1,CUST-0425,EC-1720,WH-CENTRAL,2025-08-04,2025-08-17,2025-08-17,2025-08-16,2025-08-17,50,50,0,5.5,275.0,delivered
SO-2123,1,CUST-0056,HF-1995,WH-CENTRAL,2025-07-25,2025-08-05,2025-08-05,2025-08-04,2025-08-06,25,25,0,31.0,775.0,delivered
SO-2124,1,CUST-0041,PB-4125,WH-EAST,2025-07-21,2025-07-25,2025-07-26,2025-07-26,2025-07-26,25,25,0,57.0,1425.0,delivered
SO-2125,1,CUST-0410,EC-2970,WH-CENTRAL,2025-07-25,2025-08-07,2025-08-08,2025-08-06,2025-08-08,25,25,0,28.0,700.0,delivered
SO-2126,1,CUST-0275,SE-1780,WH-CENTRAL,2025-07-17,2025-07-26,2025-07-27,2025-07-25,2025-07-27,10,10,0,28.0,280.0,delivered
SO-2127,1,CUST-0041,PB-6195,WH-SOUTH,2025-08-07,2025-08-13,2025-08-13,2025-08-13,2025-08-12,5,5,0,20.0,100.0,delivered
SO-2128,1,CUST-0012,HF-2760,WH-CENTRAL,2025-08-11,2025-08-24,2025-08-24,2025-08-23,2025-08-24,5,5,0,164.0,820.0,delivered
SO-2129,1,CUST-0168,HF-1995,WH-WEST,2025-08-08,2025-08-16,2025-08-18,2025-08-18,2025-08-18,50,50,0,31.0,1550.0,delivered
SO-2130,1,CUST-0183,SE-3090,WH-WEST,2025-08-01,2025-08-15,2025-08-15,2025-08-12,2025-08-15,10,10,0,26.0,260.0,delivered
SO-2131,1,CUST-0580,PB-4675,WH-SOUTH,2025-07-23,2025-07-26,2025-07-27,2025-07-24,2025-07-28,5,5,0,37.0,185.0,delivered
SO-2132,1,CUST-0230,HF-2760,WH-EAST,2025-07-24,2025-07-28,2025-07-28,2025-07-28,2025-07-29,5,5,0,164.0,820.0,delivered
SO-2133,1,CUST-0155,PB-4675,WH-SOUTH,2025-08-05,2025-08-10,2025-08-10,2025-08-07,2025-08-10,50,50,0,37.0,1850.0,delivered
SO-2134,1,CUST-0540,HF-3195,WH-SOUTH,2025-07-16,2025-07-24,2025-07-24,2025-07-23,2025-07-25,50,50,0,52.0,2600.0,delivered
SO-2135,1,CUST-0710,HF-2870,WH-CENTRAL,2025-07-31,2025-08-03,2025-08-05,2025-08-02,2025-08-05,5,5,0,126.0,630.0,delivered
SO-2136,1,CUST-0168,PB-5430,WH-WEST,2025-07-29,2025-08-05,2025-08-05,2025-08-05,2025-08-06,10,10,0,409.0,4090.0,delivered
SO-2137,1,CUST-0067,EC-1610,WH-EAST,2025-08-01,2025-08-10,2025-08-12,2025-08-11,2025-08-12,10,10,0,19.0,190.0,delivered
SO-2138,1,CUST-0630,IF-7455,WH-SOUTH,2025-07-28,2025-08-10,2025-08-12,2025-08-10,2025-08-12,5,5,0,31.0,155.0,delivered
SO-2139,1,CUST-0305,IF-7125,WH-SOUTH,2025-08-07,2025-08-11,2025-08-11,2025-08-08,2025-08-11,10,10,0,47.0,470.0,delivered
SO-2140,1,CUST-0128,PB-4890,WH-EAST,2025-07-30,2025-08-07,2025-08-09,2025-08-08,2025-08-09,10,10,0,45.0,450.0,delivered
SO-2141,1,CUST-0155,HF-2100,WH-EAST,2025-07-29,2025-08-10,2025-08-10,2025-08-10,2025-08-10,5,5,0,10.5,52.5,delivered
SO-2142,1,CUST-0520,EC-2595,WH-SOUTH,2025-07-29,2025-08-01,2025-08-01,2025-07-29,2025-08-01,50,50,0,16.0,800.0,delivered
SO-2143,1,CUST-0260,HF-1340,WH-CENTRAL,2025-08-12,2025-08-18,2025-08-18,2025-08-18,2025-08-17,50,50,0,14.5,725.0,delivered
SO-2144,1,CUST-0038,EC-1102,WH-EAST,2025-07-30,2025-08-09,2025-08-09,2025-08-08,2025-08-09,10,10,0,21.0,210.0,delivered
SO-2145,1,CUST-0440,HF-2650,WH-EAST,2025-07-15,2025-07-27,2025-07-27,2025-07-27,2025-07-27,50,50,0,61.0,3050.0,delivered
SO-2146,1,CUST-0155,PB-4455,WH-EAST,2025-07-24,2025-08-02,2025-08-03,2025-07-31,2025-08-02,5,5,0,24.0,120.0,delivered
SO-2147,1,CUST-0128,SE-1780,WH-SOUTH,2025-08-06,2025-08-18,2025-08-19,2025-08-18,2025-08-19,25,25,0,28.0,700.0,delivered
SO-2148,1,CUST-0134,SE-1340,WH-SOUTH,2025-07-15,2025-07-18,2025-07-18,2025-07-17,2025-07-19,10,10,0,24.0,240.0,delivered
SO-2149,1,CUST-0147,EC-2790,WH-CENTRAL,2025-07-15,2025-07-23,2025-07-23,2025-07-23,2025-07-23,10,10,0,104.0,1040.0,delivered
SO-2150,1,CUST-0012,EC-2291,WH-CENTRAL,2025-08-05,2025-08-19,2025-08-19,2025-08-18,2025-08-18,50,50,0,112.0,5600.0,delivered
SO-2151,1,CUST-0038,IF-7125,WH-CENTRAL,2025-07-24,2025-08-04,2025-08-05,2025-08-03,2025-08-05,10,10,0,47.0,470.0,delivered
SO-2152,1,CUST-0410,IF-9090,WH-WEST,2025-08-08,2025-08-15,2025-08-15,2025-08-15,2025-08-15,25,25,0,7.0,175.0,delivered
SO-2153,1,CUST-0025,PB-4780,WH-WEST,2025-08-01,2025-08-10,2025-08-11,2025-08-11,2025-08-11,25,25,0,16.0,400.0,delivered
SO-2154,1,CUST-0320,EC-1720,WH-WEST,2025-07-30,2025-08-10,2025-08-10,2025-08-09,2025-08-10,25,25,0,5.5,137.5,delivered
SO-2155,1,CUST-0041,PB-4560,WH-WEST,2025-07-24,2025-07-29,2025-07-31,2025-07-30,2025-07-31,10,10,0,20.0,200.0,delivered
SO-2156,1,CUST-0540,IF-8540,WH-CENTRAL,2025-08-11,2025-08-24,2025-08-25,2025-08-25,2025-08-24,5,5,0,26.0,130.0,delivered
SO-2157,1,CUST-0275,PB-5540,WH-WEST,2025-07-25,2025-08-01,2025-08-01,2025-08-01,2025-08-01,50,50,0,5.7,285.0,delivered
SO-2158,1,CUST-0041,PB-5980,WH-WEST,2025-08-01,2025-08-07,2025-08-07,2025-08-05,2025-08-07,100,100,0,26.5,2650.0,delivered
SO-2159,1,CUST-0320,IF-8980,WH-EAST,2025-08-13,2025-08-26,2025-08-26,2025-08-26,2025-08-25,25,25,0,9.5,237.5,delivered
SO-2160,1,CUST-0260,HF-1560,WH-CENTRAL,2025-08-07,2025-08-16,2025-08-16,2025-08-14,2025-08-16,5,5,0,58.0,290.0,delivered
SO-2161,1,CUST-0056,IF-7890,WH-EAST,2025-08-08,2025-08-13,2025-08-13,2025-08-12,2025-08-13,10,10,0,45.0,450.0,delivered
SO-2162,1,CUST-0440,SE-3090,WH-CENTRAL,2025-08-11,2025-08-21,2025-08-23,2025-08-21,2025-08-23,10,10,0,26.0,260.0,delivered
SO-2163,1,CUST-0102,EC-1205,WH-WEST,2025-08-01,2025-08-11,2025-08-12,2025-08-12,2025-08-12,50,50,0,48.0,2400.0,delivered
SO-2164,1,CUST-0128,EC-2970,WH-SOUTH,2025-08-11,2025-08-15,2025-08-15,2025-08-15,2025-08-15,10,10,0,28.0,280.0,delivered
SO-2165,1,CUST-0038,IF-7890,WH-WEST,2025-07-30,2025-08-06,2025-08-07,2025-08-06,2025-08-08,10,10,0,45.0,450.0,delivered
SO-2166,1,CUST-0073,HF-2980,WH-SOUTH,2025-07-22,2025-07-27,2025-07-27,2025-07-27,2025-07-27,10,10,0,4.7,47.0,delivered
